/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-LRreset_tb.csv,row_average
1.803998947143555,1.836713790893555,1.6850513219833374,1.8083778619766235,1.8721829652786253,1.7122211456298828,1.6611638069152832,1.89218544960022,1.7491027116775513,1.8019983768463133,1.7822996377944946
1.75481116771698,1.775917887687683,1.66840922832489,1.773234724998474,1.7215754985809326,1.8371907472610476,1.7198446989059448,1.643983006477356,1.6856573820114136,1.771161437034607,1.735178577899933
1.7411147356033323,1.7288271188735962,1.7607486248016355,1.902023196220398,1.7738553285598757,1.682833552360535,1.784419059753418,1.6756646633148191,1.6886723041534424,1.6581172943115234,1.7396275877952576
1.7824543714523315,1.8137177228927608,1.6940315961837769,1.6563031673431396,1.71683931350708,1.824851632118225,1.653646469116211,1.7513234615325928,1.7750798463821411,1.6466655731201172,1.7314913153648377
1.788474202156067,1.6418778896331787,1.691361904144287,1.777873992919922,1.750152826309204,1.6914936304092407,1.620985507965088,1.748369812965393,1.718952178955078,1.7297450304031372,1.7159286975860595
1.6977863311767578,1.6286531686782837,1.701322078704834,1.672717571258545,2.092254400253296,1.700587034225464,1.646741271018982,1.6664273738861084,1.7820607423782349,1.766142725944519,1.7354692697525025
1.6482149362564087,1.7316725254058838,1.6758544445037842,1.7977912425994873,1.6520711183547974,1.6597508192062378,1.684187650680542,1.7048909664154053,1.689524531364441,1.6829111576080322,1.6926869392395019
1.6343965530395508,1.8102508783340452,1.6919149160385132,1.6139371395111084,1.672278881072998,1.7073440551757812,1.7901450395584106,1.6756423711776731,1.724527359008789,1.647393822669983,1.6967831015586854
1.674128174781799,1.635948896408081,1.6542516946792605,1.723122477531433,1.64805805683136,1.8927209377288816,1.6771820783615112,1.7210201025009155,1.6434768438339231,1.6684919595718384,1.6938401222229005
1.6196238994598389,1.678492307662964,1.683628797531128,1.6365790367126465,1.6479315757751465,1.6615605354309082,1.7524240016937256,1.682515263557434,1.6620941162109375,1.800127387046814,1.6824976921081543
