/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-relaxEval-reset_tb.csv,row_average
1.88021719455719,1.850397229194641,1.850718379020691,1.8947486877441408,1.8694380521774288,1.8883183002471924,1.980690836906433,1.85974395275116,1.8805837631225584,1.8899880647659304,1.8844844460487367
1.837092638015747,1.801426649093628,1.8013399839401243,1.8444005250930784,1.8143137693405151,1.8244916200637815,1.941367268562317,1.81019127368927,1.8297547101974487,1.8370846509933472,1.8341463088989258
1.78560209274292,1.754399657249451,1.7499558925628662,1.792908787727356,1.7761694192886353,1.775963544845581,1.874448537826538,1.754240870475769,1.7780760526657104,1.79289710521698,1.7834661960601808
1.7393999099731443,1.704169511795044,1.71557354927063,1.7512264251708984,1.7237404584884644,1.7453763484954834,1.8301321268081665,1.7152034044265747,1.744855523109436,1.732536792755127,1.7402214050292968
1.7006983757019043,1.668744683265686,1.667494773864746,1.7051469087600708,1.6797592639923096,1.6910076141357422,1.7724790573120115,1.6732553243637085,1.697622776031494,1.7046035528182983,1.6960812330245971
1.647792100906372,1.632127046585083,1.6157218217849731,1.6599949598312378,1.6419014930725098,1.6544427871704102,1.7384873628616333,1.6460713148117063,1.6515185832977295,1.657731533050537,1.6545789003372193
1.6054319143295288,1.596954107284546,1.5841972827911377,1.6238194704055786,1.6140302419662476,1.6080361604690552,1.6985132694244385,1.602330207824707,1.6133779287338257,1.6300448179244995,1.6176735401153564
1.5836505889892578,1.5519567728042605,1.5480873584747314,1.5854061841964722,1.5694836378097534,1.5737193822860718,1.6570212841033936,1.5567748546600342,1.5889338254928589,1.589449763298035,1.580448365211487
1.546066164970398,1.5237078666687012,1.5294735431671145,1.5505781173706057,1.5482168197631836,1.5531389713287354,1.6228914260864258,1.523837924003601,1.5465329885482788,1.5625542402267456,1.550699806213379
1.5175321102142334,1.4987773895263672,1.4853204488754272,1.5345966815948486,1.495864748954773,1.5128830671310425,1.5792624950408936,1.4965031147003174,1.5134565830230713,1.5147721767425537,1.5148968815803527
