/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-relaxEval-LRreset_tb.csv,row_average
2.491332054138184,2.4590628147125244,2.441385269165039,2.442850112915039,2.488026857376098,2.487882137298584,2.4486751556396484,2.4761147499084477,2.490278720855713,2.368401527404785,2.459400939941406
2.398254156112671,2.3644163608551025,2.3415987491607666,2.3545405864715576,2.399562120437622,2.3880860805511475,2.3613104820251465,2.3787972927093506,2.3763620853424072,2.281672477722168,2.3644600391387938
2.3212344646453857,2.279846668243408,2.268235445022583,2.266174793243408,2.313918352127075,2.3031163215637207,2.2776730060577397,2.294926404953003,2.2826344966888428,2.2081291675567627,2.281588912010193
2.250194787979126,2.169111490249634,2.187424659729004,2.1886019706726074,2.223869562149048,2.2237865924835205,2.209256410598755,2.209372043609619,2.2009172439575195,2.121995210647583,2.1984529972076414
2.1728079319000244,2.1121301651000977,2.114776611328125,2.122088432312012,2.1598377227783203,2.1480069160461426,2.1273088455200195,2.134347915649414,2.118433952331543,2.051223993301392,2.126096248626709
2.088441133499145,2.0433390140533447,2.0496585369110107,2.0394461154937744,2.0724785327911377,2.077704668045044,2.06466007232666,2.0492660999298096,2.0446314811706543,1.980690836906433,2.0510316491127014
2.0278537273406982,1.9706556797027588,1.98685884475708,1.986777663230896,2.017646074295044,2.015365600585937,1.9985111951828003,2.0057661533355717,1.984235763549805,1.941367268562317,1.9935037970542908
1.979986548423767,1.9152326583862305,1.9322134256362915,1.921441912651062,1.950053572654724,1.9416855573654173,1.9488564729690552,1.9327963590621948,1.9131699800491333,1.874448537826538,1.9309885025024414
1.917522668838501,1.862028241157532,1.867597222328186,1.8639981746673584,1.8994057178497317,1.890472769737244,1.8928405046463013,1.891736388206482,1.8612830638885496,1.8301321268081665,1.8777016878128052
1.8709633350372317,1.8095779418945312,1.8327162265777588,1.823595643043518,1.8306208848953247,1.8216731548309328,1.84310245513916,1.8341443538665767,1.801483154296875,1.7724790573120115,1.8240356206893922
