,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,手法名,試行数,,,,,,,,,,,,,,,,,,,,,,,,
,30-20カリキュラム,5,,,,,,,,,,,,,,,,,,,,,,,,
,11セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,20セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セル・制約項なし,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,seed,パラメタ数(K),MAC数(M),32セル・30−30カリキュラム（平均）,32セル・30−30カリキュラム,制約項重み(30-30カリキュラム),32セル・カリキュラムなし(平均),32セル・カリキュラムなし,制約項重み(カリキュラムなし),32セル・制約なし（平均）,32セル・制約なし,32セル・カリキュラムあり(平均),32セル・カリキュラムあり,制約項重み,11セル(平均),11セル,20セル（平均）,20セル,32セル（平均）,32セル,20セルアナログ（平均）,20セルアナログ,20セル（離散化リセット）（平均）,20セル（離散化リセット）,20セルアナログリセット（平均）,20セルアナログリセット
,1,576.428,12.756,,,,,0.6541999,γ=-0.1,,,,,,,,,,,,,,,,,
,1,846.188,14.113,,,,,0.5883999,γ=-1,,,,,,,,,,,,,,,,,
,2,356.460,3.643,,,,,0.68349,γ=1,,,,,,,,,,,,,,,,,
,2,356.332,3.646,,,,,0.68569,γ=0.1,,,,,,,,,,,,,,,,,
,2,454.700,5.140,,,,,0.6926,γ=0.01,,,,,,,,,,,,,,,,,
,2,430.892,4.602,,,,,0.69049,γ=0.001,,,,,,,,,,,,,,,,,
,2,454.188,5.129,,,,,0.6898999,γ=-0.001,,,,,,,,,,,,,,,,,
,2,588.268,12.405,,,,,0.6959999,γ=-0.01,,,,,,,,,,,,,,,,,
,2,615.404,12.944,,,,,0.65619999,γ=-0.1,,,,,,,,,,,,,,,,,
,2,844.780,14.104,,,,,0.6009999,γ=-1,,,,,,,,,,,,,,,,,
,3,379.052,4.760,,,,,0.69229,γ=1,,,,,,,,,,,,,,,,,
,3,366.252,4.491,,,,,0.6850999,γ=0.1,,,,,,,,,,,,,,,,,
,3,406.316,4.088,,,,,0.68639,γ=0.01,,,,,,,,,,,,,,,,,
,3,453.228,5.708,,,,,0.707899,γ=0.001,,,,,,,,,,,,,,,,,
,3,426.412,5.788,,,,,0.69229,γ=-0.001,,,,,,,,,,,,,,,,,
,3,500.012,11.175,,,,,0.68969,γ=-0.01,,,,,,,,,,,,,,,,,
,3,653.740,13.155,,,,,0.6378999936,γ=-0.1,,,,,,,,,,,,,,,,,
,3,845.676,14.118,,,,,0.580399,γ=-1,,,,,,,,,,,,,,,,,
,4,357.356,3.651,,,,,0.692399,γ=1,,,,,,,,,,,,,,,,,
,4,356.844,3.650,,,,,0.68189999,γ=0.1,,,,,,,,,,,,,,,,,
,4,368.492,3.897,,,,,0.6869999,γ=0.01,,,,,,,,,,,,,,,,,
,4,378.540,4.747,,,,,0.6927999,γ=0.001,,,,,,,,,,,,,,,,,
,4,498.860,7.342,,,,,0.700799,γ=-0.001,,,,,,,,,,,,,,,,,
,4,612.076,12.911,,,,,0.69789,γ=-0.01,,,,,,,,,,,,,,,,,
,4,615.916,12.959,,,,,0.642599,γ=-0.1,,,,,,,,,,,,,,,,,
,4,843.756,14.105,,,,,0.623199,γ=-1,,,,,,,,,,,,,,,,,
,0,428.204,5.779,,0.699899,γ=0.001,,,,,,,,,,,,,,,,,,,,
,1,404.076,4.682,,0.6900999,γ=0.001,,,,,,,,,,,,,,,,,,,,
,2,454.188,5.129,,0.6838999,γ=0.001,,,,,,,,,,,,,,,,,,,,
,3,366.252,4.491,,0.678199,γ=0.001,,,,,,,,,,,,,,,,,,,,
,4,401.260,5.862,,0.690199993,γ=0.001,,,,,,,,,,,,,,,,,,,,
,0,404.460,4.688,,0.690699,γ=1,,,,,,,,,,,,,,,,,,,,
,1,394.412,3.838,,0.680399,γ=1,,,,,,,,,,,,,,,,,,,,
,2,366.508,4.493,,0.67989,γ=1,,,,,,,,,,,,,,,,,,,,
,3,356.460,3.643,,0.6834,γ=1,,,,,,,,,,,,,,,,,,,,
,4,404.076,4.682,,0.6834999,γ=1,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,0.6713999,,,,
,1,,,,,,,,,,,,,,,,,,,,,0.6862999931,,,,
,2,,,,,,,,,,,,,,,,,,,,,0.67669999,,,,
,3,,,,,,,,,,,,,,,,,,,,,0.68429999,,,,
,4,,,,,,,,,,,,,,,,,,,,,0.6842999,,,,
,5,,,,,,,,,,,,,,,,,,,,,0.681699993,,,,
,6,,,,,,,,,,,,,,,,,,,,,0.684599,,,,
,7,,,,,,,,,,,,,,,,,,,,,0.68599999,,,,
,8,,,,,,,,,,,,,,,,,,,,,0.684099993,,,,
