/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.01_30-30_tb.csv,row_average
1.41090726852417,1.4480290412902832,1.5009522438049316,1.5028283596038818,1.4509636163711548,1.4627361059188844
1.470316767692566,1.4500752687454224,1.5072413682937622,1.5085976123809814,1.4269421100616455,1.4726346254348754
1.3992502689361572,1.4042737483978271,1.461811065673828,1.486744046211243,1.4311423301696775,1.4366442918777467
1.450930118560791,1.4514611959457395,1.4900351762771606,1.452222228050232,1.4395564794540403,1.4568410396575928
1.4244767427444458,1.4506475925445557,1.3487244844436646,1.49284029006958,1.373985767364502,1.4181349754333497
1.4046316146850586,1.4114835262298584,1.4085956811904907,1.478693962097168,1.4236668348312378,1.4254143238067627
1.3737326860427856,1.4319968223571775,1.5127466917037964,1.4598517417907717,1.4461524486541748,1.4448960781097413
1.407379150390625,1.423149824142456,1.4755176305770874,1.440905213356018,1.4384808540344238,1.437086534500122
1.351770520210266,1.3989750146865845,1.4281933307647705,1.4730924367904663,1.3928685188293457,1.4089799642562866
1.3818858861923218,1.4175786972045898,1.3912354707717896,1.4840223789215088,1.4551087617874146,1.425966238975525
1.3933771848678589,1.4148237705230713,1.4113764762878418,1.4232561588287354,1.390952229499817,1.4067571640014649
1.3951891660690308,1.371904730796814,1.426105499267578,1.4520630836486816,1.387545108795166,1.406561517715454
1.3839384317398071,1.357347846031189,1.3785170316696167,1.414886474609375,1.4321955442428589,1.3933770656585693
1.4027140140533447,1.3948227167129517,1.4161005020141602,1.423721432685852,1.41619873046875,1.4107114791870117
1.37872052192688,1.380237698554993,1.3826749324798584,1.4420762062072754,1.406375288963318,1.3980169296264648
1.366610050201416,1.355117678642273,1.4001749753952026,1.4516414403915403,1.3930401802062988,1.3933168649673462
1.3606927394866943,1.4078786373138428,1.4048842191696167,1.4391521215438845,1.3963062763214111,1.4017827987670899
1.3520750999450684,1.3606956005096436,1.3895879983901978,1.4646785259246826,1.3682535886764526,1.387058162689209
1.3727705478668213,1.3833633661270142,1.3709495067596436,1.4254896640777588,1.4071576595306396,1.3919461488723754
1.34939706325531,1.365656852722168,1.3987938165664673,1.4513481855392456,1.3377374410629272,1.3805866718292237
1.3600939512252808,1.3496628999710083,1.4099000692367554,1.448150396347046,1.364294171333313,1.3864202976226807
1.3554152250289917,1.3711140155792236,1.3652987480163574,1.4329060316085815,1.3708012104034424,1.3791070461273194
1.3550925254821775,1.3685133457183838,1.3942863941192627,1.4557263851165771,1.3826193809509275,1.391247606277466
1.337978482246399,1.3476805686950684,1.3726061582565308,1.4391969442367554,1.383648157119751,1.376222062110901
1.3582096099853516,1.3401355743408203,1.408962607383728,1.4538778066635132,1.3804068565368652,1.3883184909820556
1.3567343950271606,1.33976149559021,1.3859633207321167,1.4445515871047974,1.3574135303497314,1.3768848657608033
1.355660080909729,1.3479119539260864,1.3925719261169434,1.4576297998428345,1.374888896942139,1.3857325315475464
1.3585737943649292,1.3599108457565308,1.3822263479232788,1.4355881214141846,1.3940138816833496,1.3860625982284547
1.3645732402801514,1.3697599172592163,1.3762283325195312,1.421675443649292,1.3543131351470947,1.3773100137710572
1.3708178997039795,1.4001950025558472,1.3996042013168335,1.4329379796981812,1.3484535217285156,1.3904017210006714
1.368755340576172,1.3616094589233398,1.3768357038497925,1.4278745651245115,1.401304006576538,1.3872758150100708
1.349979281425476,1.373028039932251,1.4049055576324463,1.4606853723526,1.386864423751831,1.395092535018921
1.3883782625198364,1.3799095153808594,1.3991392850875854,1.4525047540664673,1.3880629539489746,1.4015989542007445
1.36068594455719,1.37736976146698,1.412381291389465,1.4393705129623413,1.386276364326477,1.3952167749404907
1.395476460456848,1.3948558568954468,1.4023959636688232,1.4386242628097534,1.3774672746658323,1.4017639636993409
