07/13 07:03:27PM parser.py:28 [INFO] 
07/13 07:03:27PM parser.py:29 [INFO] Parameters:
07/13 07:03:27PM parser.py:31 [INFO] ADVANCED=True
07/13 07:03:27PM parser.py:31 [INFO] BATCH_SIZE=64
07/13 07:03:27PM parser.py:31 [INFO] CIFAR=True
07/13 07:03:27PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/13 07:03:27PM parser.py:31 [INFO] DATA_PATH=../data/
07/13 07:03:27PM parser.py:31 [INFO] DATASET=cifar100
07/13 07:03:27PM parser.py:31 [INFO] DESCRIPTION=pretrained_LR-0.001_minlr-0.0001_warmup-0
07/13 07:03:27PM parser.py:31 [INFO] EPOCHS=100
07/13 07:03:27PM parser.py:31 [INFO] EXP_NAME=pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] GPUS=[0]
07/13 07:03:27PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/13 07:03:27PM parser.py:31 [INFO] LR=0.001
07/13 07:03:27PM parser.py:31 [INFO] LR_MIN=0.0001
07/13 07:03:27PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/13 07:03:27PM parser.py:31 [INFO] MOMENTUM=0.9
07/13 07:03:27PM parser.py:31 [INFO] NAME=FINETUNE2
07/13 07:03:27PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] PRETRAINED=True
07/13 07:03:27PM parser.py:31 [INFO] SAVE=pretrained
07/13 07:03:27PM parser.py:31 [INFO] SEED=0
07/13 07:03:27PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/13 07:03:27PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/13 07:03:27PM parser.py:31 [INFO] WORKERS=4
07/13 07:03:27PM parser.py:32 [INFO] 
07/13 07:03:27PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/13 07:19:40午後 trainTeacher_main.py:237 [INFO] Valid: [ 19/99] Final Prec@1 81.5600%
07/13 07:19:40午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.8600%
07/13 07:20:54午後 trainTeacher_main.py:209 [INFO] Train: [ 20/99] Final Prec@1 87.4400%
07/13 07:20:57午後 trainTeacher_main.py:237 [INFO] Valid: [ 20/99] Final Prec@1 81.6400%
07/13 07:20:57午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.8600%
07/13 07:22:11午後 trainTeacher_main.py:209 [INFO] Train: [ 21/99] Final Prec@1 88.0600%
07/13 07:22:13午後 trainTeacher_main.py:237 [INFO] Valid: [ 21/99] Final Prec@1 81.1600%
07/13 07:22:13午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.8600%
07/13 07:23:27午後 trainTeacher_main.py:209 [INFO] Train: [ 22/99] Final Prec@1 88.6622%
07/13 07:23:30午後 trainTeacher_main.py:237 [INFO] Valid: [ 22/99] Final Prec@1 81.8200%
07/13 07:23:30午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.8600%
07/13 07:24:44午後 trainTeacher_main.py:209 [INFO] Train: [ 23/99] Final Prec@1 89.0778%
07/13 07:24:46午後 trainTeacher_main.py:237 [INFO] Valid: [ 23/99] Final Prec@1 82.1000%
07/13 07:24:46午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.1000%
07/13 07:26:00午後 trainTeacher_main.py:209 [INFO] Train: [ 24/99] Final Prec@1 89.5022%
07/13 07:26:02午後 trainTeacher_main.py:237 [INFO] Valid: [ 24/99] Final Prec@1 81.8600%
07/13 07:26:02午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.1000%
07/13 07:27:17午後 trainTeacher_main.py:209 [INFO] Train: [ 25/99] Final Prec@1 89.7111%
07/13 07:27:19午後 trainTeacher_main.py:237 [INFO] Valid: [ 25/99] Final Prec@1 81.9600%
07/13 07:27:19午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.1000%
07/13 07:28:33午後 trainTeacher_main.py:209 [INFO] Train: [ 26/99] Final Prec@1 90.2667%
07/13 07:28:35午後 trainTeacher_main.py:237 [INFO] Valid: [ 26/99] Final Prec@1 82.2400%
07/13 07:28:36午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.2400%
07/13 07:29:50午後 trainTeacher_main.py:209 [INFO] Train: [ 27/99] Final Prec@1 90.3689%
07/13 07:29:52午後 trainTeacher_main.py:237 [INFO] Valid: [ 27/99] Final Prec@1 82.5000%
07/13 07:29:52午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5000%
07/13 07:31:06午後 trainTeacher_main.py:209 [INFO] Train: [ 28/99] Final Prec@1 90.9111%
07/13 07:31:08午後 trainTeacher_main.py:237 [INFO] Valid: [ 28/99] Final Prec@1 82.4400%
07/13 07:31:08午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5000%
07/13 07:32:23午後 trainTeacher_main.py:209 [INFO] Train: [ 29/99] Final Prec@1 90.9889%
07/13 07:32:25午後 trainTeacher_main.py:237 [INFO] Valid: [ 29/99] Final Prec@1 82.3000%
07/13 07:32:25午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5000%
07/13 07:33:39午後 trainTeacher_main.py:209 [INFO] Train: [ 30/99] Final Prec@1 91.5156%
07/13 07:33:41午後 trainTeacher_main.py:237 [INFO] Valid: [ 30/99] Final Prec@1 82.5200%
07/13 07:33:41午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5200%
07/13 07:34:56午後 trainTeacher_main.py:209 [INFO] Train: [ 31/99] Final Prec@1 91.6200%
07/13 07:34:58午後 trainTeacher_main.py:237 [INFO] Valid: [ 31/99] Final Prec@1 82.5400%
07/13 07:34:58午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5400%
07/13 07:36:12午後 trainTeacher_main.py:209 [INFO] Train: [ 32/99] Final Prec@1 92.0556%
07/13 07:36:14午後 trainTeacher_main.py:237 [INFO] Valid: [ 32/99] Final Prec@1 82.1200%
07/13 07:36:14午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5400%
07/13 07:37:29午後 trainTeacher_main.py:209 [INFO] Train: [ 33/99] Final Prec@1 92.1178%
07/13 07:37:31午後 trainTeacher_main.py:237 [INFO] Valid: [ 33/99] Final Prec@1 82.2800%
07/13 07:37:31午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5400%
07/13 07:38:45午後 trainTeacher_main.py:209 [INFO] Train: [ 34/99] Final Prec@1 92.4222%
07/13 07:38:47午後 trainTeacher_main.py:237 [INFO] Valid: [ 34/99] Final Prec@1 82.8200%
07/13 07:38:47午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.8200%
07/13 07:40:01午後 trainTeacher_main.py:209 [INFO] Train: [ 35/99] Final Prec@1 92.7822%
07/13 07:40:04午後 trainTeacher_main.py:237 [INFO] Valid: [ 35/99] Final Prec@1 82.2600%
07/13 07:40:04午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.8200%
07/13 07:41:18午後 trainTeacher_main.py:209 [INFO] Train: [ 36/99] Final Prec@1 92.9356%
07/13 07:41:20午後 trainTeacher_main.py:237 [INFO] Valid: [ 36/99] Final Prec@1 82.9600%
07/13 07:41:20午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.9600%
07/13 07:42:34午後 trainTeacher_main.py:209 [INFO] Train: [ 37/99] Final Prec@1 93.0600%
07/13 07:42:37午後 trainTeacher_main.py:237 [INFO] Valid: [ 37/99] Final Prec@1 82.4200%
07/13 07:42:37午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.9600%
07/13 07:43:51午後 trainTeacher_main.py:209 [INFO] Train: [ 38/99] Final Prec@1 93.2244%
07/13 07:43:53午後 trainTeacher_main.py:237 [INFO] Valid: [ 38/99] Final Prec@1 83.0400%
07/13 07:43:53午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.0400%
07/13 07:45:07午後 trainTeacher_main.py:209 [INFO] Train: [ 39/99] Final Prec@1 93.4867%
07/13 07:45:10午後 trainTeacher_main.py:237 [INFO] Valid: [ 39/99] Final Prec@1 82.8800%
07/13 07:45:10午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.0400%
07/13 07:46:24午後 trainTeacher_main.py:209 [INFO] Train: [ 40/99] Final Prec@1 93.8444%
07/13 07:46:26午後 trainTeacher_main.py:237 [INFO] Valid: [ 40/99] Final Prec@1 82.6800%
07/13 07:46:26午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.0400%
07/13 07:47:40午後 trainTeacher_main.py:209 [INFO] Train: [ 41/99] Final Prec@1 93.8267%
07/13 07:47:43午後 trainTeacher_main.py:237 [INFO] Valid: [ 41/99] Final Prec@1 83.1000%
07/13 07:47:43午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1000%
07/13 07:48:57午後 trainTeacher_main.py:209 [INFO] Train: [ 42/99] Final Prec@1 94.1511%
07/13 07:48:59午後 trainTeacher_main.py:237 [INFO] Valid: [ 42/99] Final Prec@1 82.9000%
07/13 07:48:59午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1000%
07/13 07:50:13午後 trainTeacher_main.py:209 [INFO] Train: [ 43/99] Final Prec@1 94.2200%
07/13 07:50:16午後 trainTeacher_main.py:237 [INFO] Valid: [ 43/99] Final Prec@1 82.8800%
07/13 07:50:16午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1000%
07/13 07:51:30午後 trainTeacher_main.py:209 [INFO] Train: [ 44/99] Final Prec@1 94.4044%
07/13 07:51:32午後 trainTeacher_main.py:237 [INFO] Valid: [ 44/99] Final Prec@1 83.2800%
07/13 07:51:32午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.2800%
07/13 07:52:46午後 trainTeacher_main.py:209 [INFO] Train: [ 45/99] Final Prec@1 94.6978%
07/13 07:52:49午後 trainTeacher_main.py:237 [INFO] Valid: [ 45/99] Final Prec@1 82.8200%
07/13 07:52:49午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.2800%
07/13 07:54:03午後 trainTeacher_main.py:209 [INFO] Train: [ 46/99] Final Prec@1 94.7822%
07/13 07:54:05午後 trainTeacher_main.py:237 [INFO] Valid: [ 46/99] Final Prec@1 82.9600%
07/13 07:54:05午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.2800%
07/13 07:55:19午後 trainTeacher_main.py:209 [INFO] Train: [ 47/99] Final Prec@1 94.6711%
07/13 07:55:22午後 trainTeacher_main.py:237 [INFO] Valid: [ 47/99] Final Prec@1 82.6400%
07/13 07:55:22午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.2800%
07/13 07:56:36午後 trainTeacher_main.py:209 [INFO] Train: [ 48/99] Final Prec@1 94.9156%
07/13 07:56:38午後 trainTeacher_main.py:237 [INFO] Valid: [ 48/99] Final Prec@1 82.7800%
07/13 07:56:38午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.2800%
07/13 07:57:52午後 trainTeacher_main.py:209 [INFO] Train: [ 49/99] Final Prec@1 95.0200%
07/13 07:57:55午後 trainTeacher_main.py:237 [INFO] Valid: [ 49/99] Final Prec@1 82.8000%
07/13 07:57:55午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.2800%
07/13 07:59:09午後 trainTeacher_main.py:209 [INFO] Train: [ 50/99] Final Prec@1 94.9289%
07/13 07:59:11午後 trainTeacher_main.py:237 [INFO] Valid: [ 50/99] Final Prec@1 83.3200%
07/13 07:59:11午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.3200%
07/13 08:00:25午後 trainTeacher_main.py:209 [INFO] Train: [ 51/99] Final Prec@1 95.1222%
07/13 08:00:28午後 trainTeacher_main.py:237 [INFO] Valid: [ 51/99] Final Prec@1 82.7600%
07/13 08:00:28午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.3200%
07/13 08:01:42午後 trainTeacher_main.py:209 [INFO] Train: [ 52/99] Final Prec@1 95.4022%
