"sample1","sample2","sample3","sample4","sample5","average"
1.79901349544525,1.84294033050537,1.82176959514618,1.86891746520996,1.85869526863098,1.83826723098755
1.88105130195618,1.79655933380127,1.81296122074127,1.78681457042694,1.80124568939209,1.81572642326355
1.73333358764648,1.8217955827713,1.80126750469208,1.83298063278198,1.84573101997376,1.80702166557312
1.75294983386993,1.82402074337006,1.79023003578186,1.82045149803162,1.85647034645081,1.80882449150085
1.80758857727051,1.79047334194183,1.80950117111206,1.76019489765167,1.83976900577545,1.80150539875031
1.80242455005646,1.76817190647125,1.75010061264038,1.76446449756622,1.82593703269959,1.78221971988678
1.83904016017914,1.75570631027222,1.78039038181305,1.78656399250031,1.8186457157135,1.79606931209564
1.81969904899597,1.79239428043365,1.77257561683655,1.78504371643066,1.79710376262665,1.7933632850647
1.83009934425354,1.89380896091461,1.73108971118927,1.81972110271454,1.79242646694183,1.81342911720276
1.7191573381424,1.77517342567444,1.77036738395691,1.74664616584778,1.86000084877014,1.77426903247833
1.75420308113098,1.7878030538559,1.75298535823822,1.76634442806244,1.78148031234741,1.76856324672699
1.75819671154022,1.73257052898407,1.79685294628143,1.75836908817291,1.79480004310608,1.76815786361694
1.76452934741974,1.7267302274704,1.73893427848816,1.77823376655579,1.82525360584259,1.76673624515533
1.80621993541718,1.82508885860443,1.77188563346863,1.82203280925751,1.77653050422668,1.80035154819489
1.74496591091156,1.86883223056793,1.75283551216126,1.77036046981812,1.77136766910553,1.78167235851288
1.71043765544891,1.73621106147766,1.73640882968903,1.74334096908569,1.72410953044891,1.73010160923004
1.68862748146057,1.69076776504517,1.76212704181671,1.78901696205139,1.74941444396973,1.73599073886871
2.13506388664246,2.18620324134827,2.37106394767761,2.21302676200867,2.28964328765869,2.23900022506714
2.06498837471008,2.07279229164124,2.10253119468689,2.03975963592529,2.21155548095703,2.09832539558411
1.97242116928101,2.17781758308411,1.95750403404236,2.00883793830872,2.15193033218384,2.05370221138
1.92041993141174,1.917635679245,2.01140379905701,1.95301949977875,1.9614269733429,1.95278117656708
1.86808228492737,1.94794023036957,1.8859738111496,2.04036164283752,1.96736252307892,1.9419440984726
2.06807971000671,1.76492524147034,1.95274829864502,1.95307409763336,1.99728572368622,1.94722261428833
1.80057811737061,1.87749540805817,1.78435254096985,2.03114008903503,1.85985660552979,1.87068455219269
1.94872987270355,1.79691112041473,1.7719087600708,1.86938452720642,1.82610666751862,1.84260818958282
1.75691962242126,1.90107190608978,1.84060847759247,1.75909864902496,1.88585066795349,1.82870986461639
1.79231512546539,1.8276983499527,1.8842134475708,1.81150329113007,1.84043478965759,1.83123300075531
1.77363991737366,1.77568328380585,1.7839572429657,1.84019064903259,1.87290835380554,1.80927588939667
1.75988101959229,1.65104579925537,1.74074351787567,1.81659424304962,1.87806272506714,1.76926546096802
1.8845043182373,1.70177125930786,1.7171665430069,1.77096676826477,1.80185043811798,1.77525186538696
1.71776020526886,1.81626892089844,1.7619788646698,1.76705431938171,1.91715931892395,1.79604432582855
1.8442873954773,1.75614070892334,1.91302192211151,1.82716870307922,1.70675015449524,1.80947377681732
1.76363348960876,1.69635844230652,1.67800426483154,1.78133380413055,1.87188625335693,1.75824325084686
1.61906516551971,1.63934433460236,1.66862714290619,1.71051239967346,1.74300229549408,1.67611026763916
1.61803865432739,1.68535733222961,1.72913575172424,1.7745943069458,1.74669516086578,1.71076424121857
1.67631709575653,1.81469202041626,1.6653618812561,1.68980419635773,1.76804864406586,1.7228447675705
