エポック数,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度
,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,固定セル,固定セル,固定セル,固定セル,固定セル,固定セル,カリキュラム30-30,カリキュラム30-30
エポック数,g=1(カリキュラム),g=0.1(カリキュラム),g=0.01(カリキュラム),g=0.001(カリキュラム),g=-0.001(カリキュラム),g=-0.01(カリキュラム),g=-0.1(カリキュラム),g=-1(カリキュラム),g=0(カリキュラム),g=1,g=0.1,g=0.01,g=0.001,g=-0.001,g=-0.01,g=-0.1,g=-1,11セル,20セル,32セル,20セル(離散化・リセット),20セル（アナログ・LRリセット）,20セル（アナログ・リセット）,g=1,g=0.001
26,0.4861519992,0.4854799926,0.4905359924,0.4928719997,0.4911679924,0.4885599971,0.491328001,0.4922960043,0.4921119988,0.4993919969,0.4889039993,0.4846639991,0.489568001,0.4847039998,0.4773039997,0.4787200034,0.4270639956,0.5030800015,0.4668439955,0.400127995,0.4677839935,0.471292001,0.4673480004,0.4907840014,0.4877200007
27,0.4903119922,0.4935599923,0.491832006,0.4925759971,0.4887839973,0.4890079975,0.4929520011,0.4925520003,0.4930800021,0.5013759971,0.4929599941,0.4896879971,0.4886640012,0.4912959933,0.4875759959,0.4823360026,0.4219999969,0.501315999,0.4670439988,0.4008720011,0.4662479967,0.4667359948,0.4689960003,0.4909279943,0.4922639966
28,0.4961279929,0.4970319927,0.4982559979,0.4938799977,0.4979200006,0.493344003,0.4964639962,0.4978320003,0.4975919962,0.5060719967,0.4962079942,0.4995999873,0.492847997,0.4948080063,0.4914479971,0.4886160076,0.4247999966,0.5099720061,0.4766919971,0.4105239987,0.469855997,0.4749759972,0.475751999,0.5012399971,0.4965359986
29,0.5005519986,0.4992079973,0.5008639932,0.4990960002,0.4958719969,0.4993039966,0.5045680046,0.503895998,0.5019359946,0.5096559882,0.5090799868,0.4946559966,0.5024960041,0.4982079983,0.4957440019,0.4914399922,0.432160002,0.5074599922,0.4746879995,0.4188079953,0.4722120017,0.4736879975,0.4805600017,0.5012559891,0.4955759943
30,0.5026560009,0.4955920041,0.4989440084,0.5025439918,0.4990160048,0.4950319946,0.5001199901,0.5041759908,0.5052479982,0.5137040019,0.5044560015,0.5017999947,0.5012079954,0.4972000003,0.4990400016,0.4920719981,0.3955599964,0.5115519971,0.4824720025,0.4196759969,0.479392001,0.482536,0.475999999,0.4948719919,0.4954559982
31,0.5023759902,0.5021759987,0.5022960007,0.4948559999,0.5015759885,0.498992002,0.5054559827,0.5021919847,0.5011520028,0.5141039968,0.504768008,0.5025280058,0.5019439936,0.5041599989,0.4999200106,0.4918560028,0.4117919981,0.5156120002,0.4784559965,0.421855998,0.4756479949,0.4823959976,0.4808600038,0.5063040018,0.4996640027
32,0.5126319885,0.5041040063,0.506415987,0.5115360022,0.5072319865,0.504151994,0.510928005,0.4977520049,0.5115759969,0.5149199963,0.5130400062,0.5092879891,0.5079200029,0.5090960026,0.5094719887,0.4971759975,0.4091279984,0.5145519972,0.4821799994,0.4263000011,0.4854200006,0.4854839981,0.4839000016,0.5117359996,0.5092080116
33,0.5124480009,0.5085919976,0.5131839991,0.5113519907,0.505151999,0.5131039977,0.5103120089,0.5021040022,0.5126799941,0.5176879883,0.5128559947,0.5106319904,0.5128559947,0.5103760004,0.504144001,0.4966400027,0.3479039997,0.5171200037,0.482099998,0.4310000032,0.4847719997,0.4811400026,0.480783996,0.5088479996,0.5110880017
34,0.5111199975,0.5089359879,0.5118239999,0.5081119895,0.5097839832,0.5114879847,0.5131359935,0.5035520017,0.5122240067,0.5206879973,0.5139599919,0.5109759927,0.5107519865,0.5084159911,0.5069440126,0.4968400002,0.3601040006,0.5173080087,0.4901159972,0.4360599935,0.4846559942,0.4855039954,0.4884879977,0.5113839984,0.5147040009
35,0.515704,0.5164640069,0.5129760027,0.5171200037,0.5132239997,0.5151919901,0.5139840007,0.4992319942,0.5110959888,0.5171599984,0.5206320047,0.5112400055,0.5134719968,0.5156239986,0.5122480035,0.5021200001,0.2811439976,0.5232360065,0.4905959964,0.4473439991,0.4881879985,0.4872639924,0.4860640019,0.5205359936,0.5141279936
