エポック数,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度
,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,固定セル,固定セル,固定セル,固定セル,固定セル,固定セル,カリキュラム30-30,カリキュラム30-30
エポック数,g=1(カリキュラム),g=0.1(カリキュラム),g=0.01(カリキュラム),g=0.001(カリキュラム),g=-0.001(カリキュラム),g=-0.01(カリキュラム),g=-0.1(カリキュラム),g=-1(カリキュラム),g=0(カリキュラム),g=1,g=0.1,g=0.01,g=0.001,g=-0.001,g=-0.01,g=-0.1,g=-1,11セル,20セル,32セル,20セル(離散化・リセット),20セル（アナログ・LRリセット）,20セル（アナログ・リセット）,g=1,g=0.001
132,0.6487999916,0.6522399902,0.6507199764,0.652399981,0.6504399896,0.6616399884,0.6537199736,0.60704,0.6525599837,0.6481999874,0.6461599946,0.6527599931,0.6574000001,0.6557999969,0.6555199742,0.6079599857,0.5653199911,0.6615599811,0.6576599717,0.6457599819,0.6329199851,0.6501599848,0.6424999893,0.6454399943,0.6309199691
133,0.6485599875,0.6521999836,0.6545999885,0.6540399909,0.6594799876,0.6596399784,0.6527199745,0.6013199925,0.6531599879,0.6476399899,0.6465599775,0.6521199942,0.6575199842,0.6548799872,0.6509199858,0.6105199933,0.564199996,0.6611199796,0.6574199855,0.6497399867,0.638079989,0.6508999825,0.6411599755,0.6421999812,0.6322799802
134,0.6495599985,0.6561199903,0.6578400016,0.6556399941,0.6521999955,0.6601599813,0.6524399877,0.6031599879,0.6543199897,0.6483199835,0.6422399879,0.6527199864,0.6569599867,0.656799984,0.6523599863,0.6101199985,0.5673599839,0.6602999806,0.6586599827,0.6468999922,0.6389599919,0.6519199908,0.6449399889,0.6445599794,0.633679986
135,0.6504400015,0.6586799741,0.6579999804,0.6591999888,0.6557599902,0.665079987,0.656520009,0.606039989,0.6559999824,0.6481999755,0.6477199912,0.6570799947,0.6586399913,0.6573599935,0.6545199752,0.6143199921,0.569599998,0.6613999844,0.6638599932,0.6502599895,0.639779985,0.6530199885,0.6439199924,0.6496399999,0.6413999796
136,0.6508399844,0.6555199862,0.6564399719,0.6576399922,0.6583599806,0.6643199921,0.6557999969,0.6077599883,0.6581199884,0.6499599814,0.6463600039,0.657439971,0.6600799918,0.6615199924,0.658160007,0.614199996,0.570119977,0.6638399959,0.6651399791,0.6492599905,0.6378599882,0.6555999875,0.6455599904,0.6482399821,0.6379999757
137,0.6515599728,0.6550399899,0.6587599993,0.6578799844,0.6588799834,0.6649599791,0.6529999852,0.6077599883,0.6556399822,0.6467199802,0.6477199793,0.6565599918,0.6585199833,0.6572799802,0.658679986,0.6152799845,0.5708799958,0.6637999892,0.6647199869,0.6509599864,0.6376999795,0.6569599807,0.6459199846,0.6499199867,0.6381999969
138,0.6518399835,0.6588399768,0.6599999785,0.6602799773,0.6579199791,0.6655999899,0.6578799844,0.6075600028,0.6569599867,0.6511999846,0.6499599934,0.6584799886,0.6625599861,0.6609599829,0.6583599925,0.6143999934,0.5708799839,0.6661799848,0.6644199789,0.6540599823,0.642539984,0.656979984,0.6469399869,0.6521999717,0.643479979
139,0.6549999833,0.6603999972,0.6611199737,0.6593999982,0.6585199952,0.6672799826,0.661199975,0.6164399862,0.6578399777,0.6530799985,0.6509999871,0.6575199962,0.6626799941,0.6607999802,0.6575199842,0.6159199834,0.5693199873,0.663899982,0.6657399893,0.6542999804,0.6433999836,0.656859988,0.6501399994,0.6548399925,0.6436799884
140,0.6537999868,0.6574799895,0.6596399903,0.6621599913,0.6609599829,0.6703199863,0.6600799799,0.6092399836,0.6576399803,0.6537599802,0.6488399863,0.6593599796,0.6617599964,0.6601999879,0.6593999863,0.6204399824,0.5714399815,0.666659981,0.6665399849,0.6569599867,0.6439399838,0.6584799826,0.6510799885,0.6505599737,0.6430399895
141,0.6535199761,0.6594799876,0.6621599793,0.6640799761,0.6583599925,0.6703599811,0.6619199872,0.6118399739,0.6589599848,0.6519599795,0.6537599921,0.6594399929,0.6613999844,0.6635599852,0.6575199842,0.6183999896,0.573999989,0.6652399957,0.6673999906,0.6546199799,0.6438599825,0.6578199804,0.6490799785,0.6544799924,0.6485199928
142,0.6557999849,0.6592799902,0.6603999853,0.6600399971,0.6597999811,0.665719986,0.660439992,0.6142399788,0.6585199833,0.6557199836,0.6490799904,0.6570399761,0.6617599845,0.661439991,0.6618799806,0.6179599881,0.5740399837,0.6651999891,0.6660599887,0.6583599865,0.6448599935,0.6575399935,0.6496599913,0.6564399958,0.6465999722
143,0.6533199787,0.6585199952,0.6585199952,0.6621199965,0.6603999853,0.6661199927,0.6636799932,0.6145199776,0.6585599899,0.6535199881,0.6545599937,0.659439981,0.6621600032,0.6639199972,0.6642399788,0.6192399979,0.573759985,0.6686999798,0.6679999888,0.656979984,0.6456799924,0.6567199826,0.6516799808,0.6542399764,0.6452399969
144,0.6561200023,0.6587199807,0.6623599768,0.6612399936,0.662319994,0.6683999896,0.6634799957,0.6192799807,0.6592799783,0.6535599828,0.6520399928,0.6610399961,0.6637999773,0.6645199895,0.6630399823,0.6199199796,0.5727999687,0.6676199794,0.6679999888,0.6592599809,0.6475999892,0.6594399929,0.6523199856,0.6538399816,0.644599998
145,0.6579200029,0.6615999937,0.660559988,0.6619199753,0.6617999911,0.6671999812,0.6615599871,0.6129199862,0.6620399833,0.6539999962,0.6537599921,0.6618799925,0.6653999925,0.6655200005,0.6653599858,0.6207599878,0.5767199874,0.6677399814,0.6676799834,0.6556999862,0.6472399831,0.6611799896,0.6527199805,0.6579999924,0.6473199844
146,0.6565999985,0.6599599838,0.6592399955,0.6612800002,0.6604799867,0.670119977,0.6616799712,0.6135999918,0.6633999944,0.6541999936,0.6506399989,0.6577599883,0.6635199785,0.6643599749,0.6623199821,0.6209599972,0.5768799901,0.6681199908,0.6675999939,0.6584999859,0.6487199783,0.6600199878,0.6526799917,0.654399991,0.6498399854
147,0.6563999891,0.6602799773,0.6613999844,0.6599999905,0.6617599964,0.6681200027,0.6610799789,0.6174799919,0.6592399836,0.6543199897,0.6540799856,0.6595199823,0.6652399778,0.6647599816,0.6631599903,0.6214799881,0.5733599901,0.6698799849,0.6693799913,0.6572999835,0.650579983,0.6599599898,0.6539599895,0.656799984,0.6456799984
148,0.657039988,0.660679996,0.662199986,0.6629199862,0.6626399875,0.667719996,0.6665199876,0.6144399881,0.6610799789,0.6507599831,0.6504399896,0.6601599813,0.6642399788,0.6654399753,0.6634399891,0.6165199995,0.5700399876,0.6698399842,0.6691399872,0.6585399926,0.6459399819,0.6587599814,0.6523599803,0.6554399848,0.6500399947
149,0.656799984,0.66243999,0.6608799815,0.6641999841,0.6622399807,0.6704399943,0.6635599852,0.6133199811,0.6637599826,0.6562399864,0.6541199923,0.660319984,0.6671599865,0.66595999,0.6623199821,0.6222799897,0.5736799955,0.6665799737,0.6693999827,0.6582599759,0.6517999887,0.6608399868,0.6534999907,0.6552399874,0.648999989
150,0.6561599851,0.6615999818,0.6611999869,0.6641999841,0.6616799951,0.6695199847,0.6611199856,0.6160799861,0.6585199952,0.6535999656,0.6505599856,0.6600399852,0.6664799929,0.6659199834,0.6644399762,0.6223999977,0.5743199825,0.6711999834,0.6681599855,0.6598599732,0.6503399909,0.6589599907,0.6549799919,0.6566799998,0.6491599917
