"Value","Value","Value","Value","Value","average"
1.54810929298401,1.45286738872528,1.63539361953735,1.60051667690277,1.49564909934998,1.54650721549988
1.49907684326172,1.4476056098938,1.4551055431366,1.55964577198029,1.50474619865417,1.49323599338532
1.50367140769959,1.41831088066101,1.54170989990234,1.49295139312744,1.5151686668396,1.494362449646
1.57565832138062,1.40035116672516,1.52165198326111,1.52070128917694,1.51381802558899,1.50643615722656
1.50064539909363,1.43099558353424,1.4950670003891,1.54828345775604,1.44023275375366,1.48304483890533
1.48081469535828,1.47848320007324,1.4648609161377,1.50625932216644,1.48840355873108,1.48376433849335
1.53443849086761,1.43148005008698,1.50195384025574,1.55784785747528,1.43928647041321,1.49300134181976
1.4840624332428,1.39039552211761,1.44219279289246,1.44381523132324,1.49736285209656,1.45156576633453
1.53829431533813,1.40473973751068,1.49968314170837,1.46608209609985,1.48840963840485,1.47944178581238
1.47307515144348,1.43765449523926,1.4563490152359,1.51181828975678,1.48827517032623,1.47343442440033
1.54119622707367,1.41101777553558,1.43833780288696,1.46953904628754,1.45706808567047,1.46343178749084
1.46649730205536,1.43671309947968,1.44023549556732,1.49469566345215,1.43829607963562,1.45528752803802
1.47991156578064,1.45756423473358,1.45706212520599,1.50520431995392,1.51922702789307,1.48379385471344
1.50767040252686,1.46473407745361,1.46673846244812,1.52023077011108,1.47029232978821,1.48593320846558
1.48512244224548,1.42970442771912,1.50844025611877,1.44308638572693,1.44019520282745,1.46130974292755
1.47644150257111,1.37834358215332,1.45257472991943,1.39466059207916,1.46384084224701,1.43317224979401
1.48294317722321,1.41535937786102,1.48304879665375,1.45229637622833,1.40064406394959,1.44685835838318
1.49663901329041,1.38601160049438,1.45370483398438,1.42499589920044,1.40736448764801,1.43374316692352
1.48629403114319,1.43086504936218,1.44201338291168,1.43913149833679,1.4366215467453,1.44698510169983
1.46903955936432,1.38255345821381,1.38737797737122,1.44758355617523,1.42006552219391,1.4213240146637
1.4831166267395,1.36965131759644,1.44132792949677,1.4170184135437,1.39066994190216,1.42035684585571
1.4934253692627,1.36950159072876,1.45673012733459,1.4323502779007,1.43423628807068,1.43724873065948
1.44444417953491,1.38487219810486,1.42557978630066,1.41335844993591,1.42630863189697,1.41891264915466
1.45930433273315,1.36623060703278,1.42318439483643,1.43302714824677,1.42545366287231,1.42144002914429
1.44661033153534,1.37436091899872,1.4252781867981,1.44926333427429,1.41535592079163,1.42217373847961
1.49936509132385,1.35080647468567,1.47785806655884,1.43462383747101,1.42684090137482,1.43789887428284
1.45625650882721,1.35554981231689,1.42385828495026,1.45147049427032,1.40372908115387,1.41817283630371
1.45450806617737,1.34151434898376,1.42629206180573,1.42818367481232,1.42440831661224,1.41498129367828
1.48385226726532,1.39440977573395,1.42682361602783,1.40398645401001,1.40745782852173,1.42330598831177
1.49774026870728,1.37208616733551,1.4336816072464,1.43926537036896,1.41667926311493,1.43189053535461
1.46231627464294,1.36435568332672,1.43954741954803,1.43589353561401,1.41628432273865,1.42367944717407
1.45081460475922,1.35098159313202,1.407550573349,1.42169058322907,1.40707874298096,1.40762321949005
1.50801146030426,1.35480344295502,1.44480729103088,1.42805182933807,1.39112555980682,1.42535991668701
1.49504232406616,1.35462892055511,1.4529402256012,1.45008039474487,1.39262640476227,1.42906365394592
1.48019456863403,1.3589061498642,1.43472790718079,1.40217387676239,1.40756189823151,1.41671288013458
1.46937894821167,1.36624932289124,1.42941009998322,1.43929326534271,1.43918597698212,1.42870352268219
1.48756682872772,1.37702095508575,1.42933821678162,1.42545306682587,1.4046311378479,1.42480204105377
1.47239398956299,1.36173486709595,1.43389916419983,1.42938244342804,1.42853879928589,1.42518985271454
1.48636972904205,1.35441184043884,1.4461590051651,1.44126713275909,1.42476046085358,1.43059363365173
1.43564999103546,1.36196827888489,1.43632161617279,1.42473566532135,1.40416598320007,1.41256830692291
1.48124253749847,1.36795723438263,1.4267315864563,1.45573425292969,1.41365921497345,1.42906496524811
1.48279976844788,1.37740504741669,1.46772217750549,1.43602812290192,1.41336452960968,1.43546392917633
1.4913843870163,1.38981878757477,1.43373644351959,1.44620490074158,1.45160615444183,1.44255013465881
