/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-L32_tb.csv,row_average
2.182326078414917,2.144376754760742,2.151979446411133,2.31506896018982,2.258378028869629,2.168121576309204,2.180383682250977,2.196990966796875,2.111173629760742,2.2047319412231445,2.191353106498718
2.1321654319763184,2.205368995666504,2.1520373821258545,2.1507811546325684,2.140466451644897,2.205537796020508,2.098905324935913,2.2301554679870605,2.0788307189941406,2.3893532752990723,2.178360199928284
2.102705478668213,2.2116048336029053,2.1315689086914062,2.128718376159668,2.1288344860076904,2.1140332221984863,2.1126534938812256,2.143643617630005,2.10135555267334,2.1823387145996094,2.135745668411255
2.142716646194458,2.071995496749878,2.113969564437866,2.1538290977478027,2.2007393836975098,2.116673707962036,2.107100009918213,2.13222599029541,2.03722620010376,2.1847357749938965,2.126121187210083
2.126464605331421,2.1870546340942383,2.101734161376953,2.157430410385132,2.2095038890838623,2.094496965408325,2.1595664024353027,2.120715618133545,2.0838282108306885,2.1260735988616943,2.136686849594116
2.2004599571228027,2.12841796875,2.1668541431427,2.1069345474243164,2.0517258644104004,2.2131333351135254,2.1118338108062744,2.16525673866272,2.115962505340576,2.095041275024414,2.135562014579773
2.0645205974578857,2.085055112838745,2.171103000640869,2.099650382995605,2.115767240524292,2.1500909328460693,2.165827989578247,2.1331255435943604,2.1087539196014404,2.193781852722168,2.128767657279968
2.1991090774536133,2.060516119003296,2.1862101554870605,2.1620032787323,2.0956835746765137,2.209317445755005,2.165235042572021,2.160814046859741,2.062582492828369,2.142970085144043,2.144444131851196
2.0690956115722656,2.048883438110352,2.1224989891052246,2.231382131576538,2.026008129119873,2.0821726322174072,2.1089677810668945,2.086842536926269,2.0594465732574463,2.1507482528686523,2.098604607582092
2.0833945274353027,2.0882534980773926,2.098385810852051,2.0743658542633057,2.0933754444122314,2.046574115753174,2.2390618324279785,2.113604784011841,2.211589097976685,2.0472443103790283,2.109584927558899
2.0833218097686768,2.12214732170105,2.1452977657318115,2.1154134273529053,2.106966972351074,2.099162578582764,2.177435398101806,2.1049013137817383,2.189960479736328,2.1089487075805664,2.125355577468872
2.0863943099975586,2.084823608398437,2.1032726764678955,2.1076924800872803,2.0357794761657715,2.102403402328491,2.083723545074463,2.1393511295318604,2.144030809402466,2.117424488067627,2.100489592552185
2.1103556156158447,2.1101720333099365,2.1065046787261963,2.0727767944335938,2.1147620677948,2.1033287048339844,2.1412198543548584,2.06178617477417,2.135185480117798,2.160726547241211,2.1116817951202393
2.09736704826355,2.083401679992676,2.005737543106079,2.0591342449188232,2.0917413234710693,2.1162326335906982,2.146900177001953,2.066379308700561,2.113171339035034,2.084031820297241,2.0864097118377685
2.110764265060425,2.026813268661499,1.966494917869568,2.098273754119873,2.052962064743042,2.177316188812256,2.0744996070861816,2.0864505767822266,2.063222169876098,2.010340929031372,2.066713774204254
2.11848783493042,2.080159902572632,2.162513017654419,2.046538114547729,2.0388989448547363,2.1171414852142334,2.1596853733062744,2.1335198879241943,2.059454917907715,2.058754205703736,2.097515368461609
2.193519353866577,2.096396923065185,2.064244270324707,2.1347687244415283,2.013412952423096,2.178992748260498,2.187175989151001,2.0888688564300537,2.0930609703063965,2.0340065956115723,2.1084447383880613
2.051879405975342,2.08030366897583,2.0439541339874268,2.079688787460327,2.133478879928589,2.1219186782836914,2.131197690963745,2.059016704559326,2.0478549003601074,2.093008279800415,2.08423011302948
2.176821231842041,2.074826240539551,2.1638429164886475,2.284876108169556,2.1038949489593506,2.432239532470703,2.302159309387207,2.1155474185943604,2.1135826110839844,2.31000018119812,2.207779049873352
1.9475727081298828,2.3377535343170166,2.052699565887451,2.0025317668914795,2.1375226974487305,2.209857940673828,2.04550576210022,2.1111128330230717,2.018348932266236,2.135401725769043,2.099830746650696
2.025812864303589,1.9509235620498655,2.038976192474365,2.081456184387207,2.2343218326568604,2.151140689849853,1.9639549255371092,2.133664608001709,1.913536071777344,1.937892198562622,2.0431679129600524
1.963177800178528,2.124178171157837,1.915803074836731,2.0473642349243164,2.150770425796509,2.091322422027588,2.016132116317749,2.0707848072052,1.9890248775482176,2.264749765396118,2.0633307695388794
2.0422072410583496,1.9928416013717647,2.1064558029174805,1.902332782745361,1.963566780090332,1.9581079483032229,1.962264895439148,2.008833885192871,2.0492398738861084,2.007936477661133,1.9993787288665772
2.0319995880126958,1.972066164016724,1.9231735467910769,1.9237726926803589,1.9903334379196167,1.9856512546539309,1.9083491563797,1.972676515579224,1.888378620147705,2.043260097503662,1.9639661073684693
1.9576408863067627,1.996888875961304,1.9687615633010864,1.955848217010498,1.85157310962677,2.014472007751465,1.987735748291016,1.918731689453125,1.9272778034210205,1.9142957925796509,1.9493225693702698
1.9437830448150637,1.860439777374268,1.8649226427078247,1.8840934038162231,1.859951615333557,2.0593841075897217,1.935818791389465,2.0379598140716557,2.118035078048706,1.9984437227249143,1.95628319978714
2.0838701725006104,1.936450719833374,1.8460410833358765,1.8330515623092647,1.947054743766785,1.9751430749893188,2.024181604385376,1.9064630270004272,1.9900091886520384,2.16494369506836,1.970720887184143
1.8919827938079836,1.9739081859588623,1.872316837310791,1.9196860790252688,1.9506678581237795,1.8036596775054927,1.81731641292572,1.9607094526290891,1.8816930055618288,1.938358187675476,1.901029849052429
2.023020029067993,1.9250339269638064,1.8870242834091189,2.142750740051269,1.8490937948226929,1.8437538146972656,2.1139075756073,2.199554204940796,1.8593461513519287,1.9073197841644287,1.97508043050766
