/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g1_0-50_tb.csv,row_average
1.8196362257003784,1.8956472873687744,1.844741702079773,1.8315600156784055,1.867824673652649,1.851881980895996
1.8003857135772705,1.8761255741119385,1.8788247108459477,1.8016432523727417,1.8714691400527956,1.8456896781921386
1.7796173095703125,1.8530939817428589,1.858609914779663,1.861926555633545,1.7910605669021606,1.828861665725708
1.7809598445892334,1.8722203969955444,1.800277590751648,1.759263515472412,1.819579482078552,1.806460165977478
1.7728173732757568,1.8682386875152588,1.8844947814941408,1.781641721725464,1.8142659664154053,1.824291706085205
1.8080192804336548,1.8377922773361208,1.8582905530929563,1.7971633672714231,1.8059866428375244,1.821450424194336
1.7729893922805786,1.8051650524139404,1.782466173171997,1.870393991470337,1.8333035707473757,1.8128636360168457
1.7902976274490356,1.8744257688522337,1.8217564821243288,1.7407405376434326,1.7551697492599487,1.796478033065796
1.8351320028305051,1.8278883695602417,1.821973204612732,1.7419649362564087,1.843677401542664,1.8141271829605103
1.7845783233642578,1.8246445655822756,1.7986469268798828,1.831737041473389,1.829575777053833,1.8138365268707275
1.7309514284133911,1.841552734375,1.803788661956787,1.7923380136489868,1.7642184495925903,1.786569857597351
1.770207166671753,1.86617910861969,1.825442910194397,1.887364387512207,1.7787717580795288,1.825593066215515
1.7759177684783936,1.8412336111068728,1.7981759309768677,1.77464759349823,1.78427255153656,1.7948494911193849
1.7670356035232544,1.9141690731048584,1.845952033996582,1.7748337984085083,1.765629768371582,1.813524055480957
1.7866536378860474,1.8009639978408811,1.770602822303772,1.8431987762451167,1.7705811262130735,1.7944000720977784
1.774412751197815,1.841094970703125,1.7885308265686035,1.8112848997116089,1.816079378128052,1.8062805652618408
1.7004202604293823,1.8665231466293333,1.9020121097564695,1.7871373891830444,1.7928024530410769,1.8097790718078612
1.7051347494125366,1.7537569999694824,1.7808667421340942,1.7784770727157593,1.7959816455841064,1.7628434419631958
1.7375249862670898,1.7892613410949707,1.7609797716140747,1.7743302583694458,1.8272749185562132,1.7778742551803588
1.6847587823867798,1.745473861694336,1.7038190364837646,1.813875675201416,1.757496953010559,1.7410848617553711
1.7807036638259888,1.785184621810913,1.7376519441604614,1.7741799354553225,1.733797311782837,1.7623034954071044
1.7614641189575195,1.8035722970962524,1.7393213510513306,1.738569974899292,1.773276925086975,1.763240933418274
1.6837992668151855,1.779981255531311,1.711454153060913,1.7440375089645386,1.7210588455200195,1.7280662059783936
1.755877137184143,1.7504968643188477,1.8713301420211792,1.808860659599304,1.7400305271148682,1.7853190660476685
2.0320258140563965,2.450014114379883,2.593721389770508,2.1433746814727783,2.240566730499268,2.2919405460357667
1.8793941736221316,2.01842999458313,2.0742218494415283,2.16050124168396,1.950755953788757,2.0166606426239015
1.8861037492752075,1.9188207387924197,2.088531732559204,2.1216015815734863,1.954288125038147,1.9938691854476929
1.8152475357055664,1.8203483819961548,2.0579092502593994,1.8435266017913816,1.8530584573745728,1.878018045425415
1.806014060974121,1.8601793050765991,1.819019198417664,1.9187544584274288,2.012273073196411,1.8832480192184449
1.7819819450378418,1.921786427497864,1.8424392938613887,2.042541742324829,1.9324411153793333,1.9042381048202515
1.7153574228286743,1.7305313348770142,1.7716840505599976,1.847169280052185,2.0516250133514404,1.8232734203338623
1.7124879360198977,1.998213768005371,1.778305172920227,1.9361506700515747,1.8874709606170652,1.8625257015228271
1.6746826171875,1.7975637912750244,1.8459728956222532,1.770437479019165,1.923883318901062,1.8025080204010009
1.7060351371765137,1.7193750143051147,1.7338212728500366,1.771999478340149,1.8121750354766848,1.7486811876296997
1.8670923709869385,1.7148858308792114,1.857045531272888,1.779825210571289,1.9132096767425537,1.8264117240905762
1.7030121088027954,1.8564764261245728,1.7398462295532229,1.74644935131073,1.6980738639831543,1.748771595954895
1.5881762504577637,1.8563244342803955,1.7361552715301514,1.7416949272155762,1.707950472831726,1.7260602712631226
1.6585888862609863,1.7837544679641724,1.8760250806808472,1.7574509382247925,1.6863712072372437,1.7524381160736084
1.6503633260726929,1.7881118059158323,1.7485798597335815,1.782249093055725,1.804465651512146,1.7547539472579956
1.7004997730255127,1.7629321813583374,1.6876896619796753,1.7543240785598757,1.7794294357299805,1.7369750261306762
1.7541673183441162,1.7856979370117188,1.7276029586791992,1.79890239238739,1.7463204860687256,1.76253821849823
1.625322699546814,1.6980844736099243,1.6622953414916992,1.6718300580978394,1.795671463012695,1.6906408071517944
1.5763022899627686,1.6961884498596191,1.7879256010055542,1.780307650566101,1.7870988845825195,1.7255645751953126
1.6185698509216309,1.7585337162017822,1.6977674961090088,1.6642695665359497,1.6865650415420532,1.685141134262085
1.6212726831436155,1.7869774103164673,1.752684473991394,1.637882947921753,1.771227478981018,1.7140089988708496
1.6254000663757324,1.6532987356185913,1.774147629737854,1.7890633344650269,1.6728136539459229,1.7029446840286255
1.6643333435058594,1.7187104225158691,1.6462674140930176,1.826711893081665,1.6328728199005127,1.6977791786193848
1.587979793548584,1.6195491552352903,1.629946231842041,1.738529086112976,1.759375810623169,1.667076015472412
1.556853413581848,1.6621716022491455,1.6403565406799316,1.655359983444214,1.6651350259780884,1.6359753131866455
1.5868088006973269,1.7060415744781494,1.6228755712509155,1.6745576858520508,1.7339444160461426,1.664845609664917
1.6864134073257446,1.8079516887664795,1.597760558128357,1.7289159297943115,1.6450228691101074,1.693212890625
1.6092294454574585,1.6175785064697266,1.6358877420425415,1.8966714143753047,1.6150425672531128,1.674881935119629
1.6074868440628052,1.74328875541687,1.7693220376968384,1.628704309463501,1.7890567779541016,1.7075717449188232
1.6268287897109983,1.5930840969085691,1.696316123008728,1.7423315048217771,1.6944530010223389,1.6706027030944823
1.6842875480651855,1.7254021167755127,1.626913070678711,1.749076247215271,1.666482925415039,1.6904323816299438
1.5854530334472656,1.6594440937042236,1.7378227710723877,1.633397936820984,1.659592866897583,1.6551421403884887
1.5384752750396729,1.6972601413726809,1.6965434551239014,1.6312991380691528,1.683342456817627,1.649384093284607
1.6432875394821167,1.6443562507629397,1.5139591693878174,1.6474919319152832,1.675347089767456,1.6248883962631226
1.5919784307479858,1.6520423889160156,1.5579975843429563,1.663433313369751,1.7391061782836914,1.64091157913208
1.5833029747009275,1.708367943763733,1.6311472654342651,1.7278952598571775,1.5992159843444824,1.6499858856201173
1.5373039245605469,1.6890839338302612,1.6313257217407229,1.636847972869873,1.7116378545761108,1.641239881515503
1.71360981464386,1.5864115953445437,1.6100006103515625,1.611126184463501,1.5646835565567017,1.6171663522720336
1.5256763696670532,1.77558171749115,1.652547836303711,1.6060235500335691,1.546993374824524,1.6213645696640016
1.477779984474182,1.5583937168121338,1.5345371961593628,1.6221455335617063,1.5942813158035278,1.5574275493621825
1.614408254623413,1.5386738777160645,1.5399285554885864,1.7861480712890625,1.7185038328170776,1.6395325183868408
1.5736390352249146,1.563860297203064,1.5481784343719482,1.6180455684661863,1.5442034006118774,1.569585347175598
1.536660075187683,1.623759150505066,1.5643647909164429,1.646628737449646,1.541638731956482,1.582610297203064
1.5455496311187744,1.652516484260559,1.545706868171692,1.5491141080856323,1.5126506090164185,1.5611075401306151
1.620963454246521,1.5064380168914795,1.541639804840088,1.6191635131835938,1.5759652853012085,1.5728340148925781
1.5145426988601685,1.6797109842300415,1.5105491876602173,1.570746660232544,1.6015596389770508,1.5754218339920043
1.5132776498794556,1.5975263118743896,1.6259933710098269,1.6225100755691528,1.5788276195526123,1.5876270055770874
1.496734380722046,1.4899580478668213,1.5528205633163452,1.547759175300598,1.530314803123474,1.5235173940658568
1.5221132040023804,1.6288775205612185,1.5559273958206177,1.5542107820510864,1.5738296508789062,1.5669917106628417
1.5730332136154177,1.601272463798523,1.614609956741333,1.5803097486495972,1.512414813041687,1.5763280391693115
1.5112102031707764,1.530979037284851,1.5392106771469116,1.5493367910385132,1.575692653656006,1.5412858724594116
1.537574052810669,1.523944854736328,1.5623749494552612,1.5534842014312744,1.554112195968628,1.546298050880432
1.487181544303894,1.525144338607788,1.5412206649780271,1.5239312648773191,1.5386898517608645,1.5232335329055786
1.4918218851089478,1.522231936454773,1.5906902551651,1.5306943655014038,1.5871312618255615,1.5445139408111572
1.4568217992782593,1.568241000175476,1.562638282775879,1.5739189386367798,1.5046839714050293,1.5332607984542848
1.5154032707214355,1.528850555419922,1.4799340963363647,1.5602740049362185,1.4556879997253418,1.5080299854278565
