/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-reset_tb.csv,row_average
2.608808279037476,2.591570854187012,2.630908250808716,2.532732963562012,2.638617753982544,2.5313704013824463,2.8720662593841557,2.617672920227051,2.5269603729248047,2.530029535293579,2.6080737590789798
2.551563262939453,2.5940370559692383,2.480297565460205,2.586915969848633,2.470999956130981,2.4357423782348637,2.861574649810791,2.4749186038970947,2.593959093093872,2.4850049018859863,2.553501343727112
2.4754226207733154,2.4195804595947266,2.436748743057251,2.388023853302002,2.4490811824798584,2.569924831390381,2.697121381759644,2.399571180343628,2.3893768787384038,2.4549202919006348,2.4679771423339845
2.42853045463562,2.3495211601257324,2.416672706604004,2.482424736022949,2.404371976852417,2.389121055603028,2.658698081970215,2.2734122276306152,2.386916399002075,2.4405627250671387,2.423023152351379
2.3705508708953857,2.292590379714966,2.309128761291504,2.363966464996338,2.4423890113830566,2.259726047515869,2.545629501342773,2.359525442123413,2.25366735458374,2.356112003326416,2.355328583717346
2.3255112171173096,2.2537612915039062,2.2470855712890625,2.303638219833374,2.3691065311431885,2.285299301147461,2.538313627243042,2.275470495223999,2.255118131637573,2.304121971130371,2.3157426357269286
2.3166520595550537,2.180549383163452,2.2118566036224365,2.4916608333587646,2.238769769668579,2.1614463329315186,2.411020278930664,2.2185375690460205,2.2029178142547607,2.259852170944214,2.2693262815475466
2.276176929473877,2.249462604522705,2.1890981197357178,2.264209032058716,2.238360643386841,2.252323865890503,2.4439916610717773,2.145758390426636,2.241584539413452,2.2085328102111816,2.2509498596191406
2.231752157211304,2.134392261505127,2.247233390808105,2.202997922897339,2.1764020919799805,2.132272958755493,2.326704502105713,2.160918474197388,2.1475658416748047,2.172100305557251,2.1932339906692504
2.1719343662261963,2.0799989700317383,2.1968579292297363,2.159475803375244,2.235402584075928,2.0746586322784424,2.2332565784454346,2.0558736324310303,2.1165783405303955,2.250673294067383,2.157471013069153
