/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-relaxEval-LRreset_tb.csv,row_average
1.965046763420105,1.964198112487793,1.9538354873657229,1.9552310705184937,1.9113616943359373,1.945486307144165,1.97817862033844,2.0004587173461914,2.0126280784606934,1.9488615989685056,1.9635286450386047
1.888546586036682,1.99994957447052,1.9043941497802732,2.0276646614074707,2.085739850997925,1.9493536949157717,1.9948151111602783,1.9533312320709229,1.9067761898040767,1.9674086570739744,1.9677979707717896
2.01130485534668,1.9158509969711304,1.910888671875,1.9207336902618408,2.0146775245666504,1.9635982513427732,2.0254063606262207,1.931317925453186,1.963770031929016,1.9824550151824951,1.9640003323554993
1.88765549659729,1.9674596786499023,1.862028956413269,1.9239723682403564,2.0093319416046143,1.9376784563064573,1.9802613258361816,1.9656060934066768,1.88993775844574,1.9692648649215696,1.9393196940422057
1.968083143234253,1.990824818611145,1.935996532440185,1.9511964321136477,2.036613941192627,1.983620047569275,1.964298248291016,2.011828184127808,1.9363418817520144,1.9353446960449217,1.9714147925376893
2.0263490676879883,1.9591015577316284,2.1263020038604736,1.8554623126983645,1.907547950744629,1.9021207094192505,1.940682053565979,1.886670470237732,1.9964157342910769,1.992614984512329,1.959326684474945
1.969736933708191,1.937138080596924,1.943652629852295,1.954046607017517,1.8674650192260744,1.920511245727539,2.013767957687378,1.951549768447876,1.8994572162628172,1.923187613487244,1.9380513072013854
1.991440773010254,1.9340330362319944,1.980961799621582,1.9278266429901123,1.968212842941284,1.9394090175628664,2.0046541690826416,1.9157602787017824,2.0747320652008057,1.9459867477416992,1.968301737308502
2.067695140838623,1.9176239967346191,1.9938048124313357,1.8706672191619875,1.9794646501541135,1.9569754600524905,1.9445916414260864,1.9232802391052248,2.065584659576416,1.992611050605774,1.971229887008667
1.9596197605133057,1.8821828365325928,1.9222432374954224,1.9120464324951167,1.9818490743637085,1.8713358640670776,1.898468852043152,1.9945619106292725,1.922563076019287,1.9665716886520384,1.9311442732810975
