07/13 07:12:18PM parser.py:28 [INFO] 
07/13 07:12:18PM parser.py:29 [INFO] Parameters:
07/13 07:12:18PM parser.py:31 [INFO] ADVANCED=True
07/13 07:12:18PM parser.py:31 [INFO] BATCH_SIZE=64
07/13 07:12:18PM parser.py:31 [INFO] CIFAR=True
07/13 07:12:18PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/13 07:12:18PM parser.py:31 [INFO] DATA_PATH=../data/
07/13 07:12:18PM parser.py:31 [INFO] DATASET=cifar100
07/13 07:12:18PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-0
07/13 07:12:18PM parser.py:31 [INFO] EPOCHS=100
07/13 07:12:18PM parser.py:31 [INFO] EXP_NAME=pretrained-20240713-191218
07/13 07:12:18PM parser.py:31 [INFO] GPUS=[0]
07/13 07:12:18PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/13 07:12:18PM parser.py:31 [INFO] LR=0.001
07/13 07:12:18PM parser.py:31 [INFO] LR_MIN=0.0001
07/13 07:12:18PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/13 07:12:18PM parser.py:31 [INFO] MOMENTUM=0.9
07/13 07:12:18PM parser.py:31 [INFO] NAME=FINETUNE2
07/13 07:12:18PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240713-191218
07/13 07:12:18PM parser.py:31 [INFO] PRETRAINED=True
07/13 07:12:18PM parser.py:31 [INFO] SAVE=pretrained
07/13 07:12:18PM parser.py:31 [INFO] SEED=0
07/13 07:12:18PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/13 07:12:18PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/13 07:12:18PM parser.py:31 [INFO] WORKERS=4
07/13 07:12:18PM parser.py:32 [INFO] 
07/13 07:12:19PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/13 07:40:33午後 trainTeacher_main.py:237 [INFO] Valid: [ 21/99] Final Prec@1 82.3600%
07/13 07:40:33午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.8000%
07/13 07:41:47午後 trainTeacher_main.py:209 [INFO] Train: [ 22/99] Final Prec@1 92.7600%
07/13 07:41:50午後 trainTeacher_main.py:237 [INFO] Valid: [ 22/99] Final Prec@1 82.6200%
07/13 07:41:50午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.8000%
07/13 07:43:04午後 trainTeacher_main.py:209 [INFO] Train: [ 23/99] Final Prec@1 92.9200%
07/13 07:43:06午後 trainTeacher_main.py:237 [INFO] Valid: [ 23/99] Final Prec@1 83.1600%
07/13 07:43:06午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:44:20午後 trainTeacher_main.py:209 [INFO] Train: [ 24/99] Final Prec@1 93.3356%
07/13 07:44:23午後 trainTeacher_main.py:237 [INFO] Valid: [ 24/99] Final Prec@1 82.2800%
07/13 07:44:23午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:45:37午後 trainTeacher_main.py:209 [INFO] Train: [ 25/99] Final Prec@1 93.4689%
07/13 07:45:39午後 trainTeacher_main.py:237 [INFO] Valid: [ 25/99] Final Prec@1 82.7200%
07/13 07:45:39午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:46:54午後 trainTeacher_main.py:209 [INFO] Train: [ 26/99] Final Prec@1 94.0289%
07/13 07:46:56午後 trainTeacher_main.py:237 [INFO] Valid: [ 26/99] Final Prec@1 83.0000%
07/13 07:46:56午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:48:10午後 trainTeacher_main.py:209 [INFO] Train: [ 27/99] Final Prec@1 94.2267%
07/13 07:48:13午後 trainTeacher_main.py:237 [INFO] Valid: [ 27/99] Final Prec@1 83.1400%
07/13 07:48:13午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:49:27午後 trainTeacher_main.py:209 [INFO] Train: [ 28/99] Final Prec@1 94.2578%
07/13 07:49:29午後 trainTeacher_main.py:237 [INFO] Valid: [ 28/99] Final Prec@1 82.6600%
07/13 07:49:29午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:50:44午後 trainTeacher_main.py:209 [INFO] Train: [ 29/99] Final Prec@1 94.3911%
07/13 07:50:46午後 trainTeacher_main.py:237 [INFO] Valid: [ 29/99] Final Prec@1 82.8800%
07/13 07:50:46午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:52:00午後 trainTeacher_main.py:209 [INFO] Train: [ 30/99] Final Prec@1 94.6933%
07/13 07:52:02午後 trainTeacher_main.py:237 [INFO] Valid: [ 30/99] Final Prec@1 82.9800%
07/13 07:52:02午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1600%
07/13 07:53:17午後 trainTeacher_main.py:209 [INFO] Train: [ 31/99] Final Prec@1 94.8667%
07/13 07:53:19午後 trainTeacher_main.py:237 [INFO] Valid: [ 31/99] Final Prec@1 83.1800%
07/13 07:53:19午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1800%
07/13 07:54:33午後 trainTeacher_main.py:209 [INFO] Train: [ 32/99] Final Prec@1 95.2556%
07/13 07:54:36午後 trainTeacher_main.py:237 [INFO] Valid: [ 32/99] Final Prec@1 83.0600%
07/13 07:54:36午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1800%
07/13 07:55:50午後 trainTeacher_main.py:209 [INFO] Train: [ 33/99] Final Prec@1 95.1511%
07/13 07:55:52午後 trainTeacher_main.py:237 [INFO] Valid: [ 33/99] Final Prec@1 82.6000%
07/13 07:55:52午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1800%
