07/16 01:17:01AM parser.py:28 [INFO] 
07/16 01:17:01AM parser.py:29 [INFO] Parameters:
07/16 01:17:01AM parser.py:31 [INFO] ADVANCED=True
07/16 01:17:01AM parser.py:31 [INFO] BATCH_SIZE=64
07/16 01:17:01AM parser.py:31 [INFO] CIFAR=True
07/16 01:17:01AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/16 01:17:01AM parser.py:31 [INFO] DATA_PATH=../data/
07/16 01:17:01AM parser.py:31 [INFO] DATASET=cifar100
07/16 01:17:01AM parser.py:31 [INFO] DESCRIPTION=pretrained_LR_features-0.001_classifier-0.01_cosine_warmup-0
07/16 01:17:01AM parser.py:31 [INFO] EPOCHS=50
07/16 01:17:01AM parser.py:31 [INFO] EXP_NAME=pretrained-20240716-011701
07/16 01:17:01AM parser.py:31 [INFO] GPUS=[0]
07/16 01:17:01AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/16 01:17:01AM parser.py:31 [INFO] LR=0.001
07/16 01:17:01AM parser.py:31 [INFO] LR_MIN=0.0001
07/16 01:17:01AM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_m
07/16 01:17:01AM parser.py:31 [INFO] MOMENTUM=0.9
07/16 01:17:01AM parser.py:31 [INFO] NAME=FINETUNE2
07/16 01:17:01AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_m/FINETUNE2/pretrained-20240716-011701
07/16 01:17:01AM parser.py:31 [INFO] PRETRAINED=True
07/16 01:17:01AM parser.py:31 [INFO] SAVE=pretrained
07/16 01:17:01AM parser.py:31 [INFO] SEED=0
07/16 01:17:01AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/16 01:17:01AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/16 01:17:01AM parser.py:31 [INFO] WORKERS=4
07/16 01:17:01AM parser.py:32 [INFO] 
07/16 01:17:02AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/16 01:55:47午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.8400%
07/16 01:57:40午前 trainTeacher_main.py:210 [INFO] Train: [ 20/49] Final Prec@1 98.6222%
07/16 01:57:43午前 trainTeacher_main.py:238 [INFO] Valid: [ 20/49] Final Prec@1 86.0800%
07/16 01:57:44午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.0800%
07/16 01:59:36午前 trainTeacher_main.py:210 [INFO] Train: [ 21/49] Final Prec@1 98.6756%
07/16 01:59:40午前 trainTeacher_main.py:238 [INFO] Valid: [ 21/49] Final Prec@1 86.1800%
07/16 01:59:40午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1800%
07/16 02:01:32午前 trainTeacher_main.py:210 [INFO] Train: [ 22/49] Final Prec@1 98.8511%
07/16 02:01:36午前 trainTeacher_main.py:238 [INFO] Valid: [ 22/49] Final Prec@1 85.6800%
07/16 02:01:36午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1800%
07/16 02:03:28午前 trainTeacher_main.py:210 [INFO] Train: [ 23/49] Final Prec@1 98.8644%
07/16 02:03:32午前 trainTeacher_main.py:238 [INFO] Valid: [ 23/49] Final Prec@1 86.1800%
07/16 02:03:32午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1800%
07/16 02:05:24午前 trainTeacher_main.py:210 [INFO] Train: [ 24/49] Final Prec@1 98.9400%
07/16 02:05:27午前 trainTeacher_main.py:238 [INFO] Valid: [ 24/49] Final Prec@1 86.5000%
07/16 02:05:28午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5000%
07/16 02:07:20午前 trainTeacher_main.py:210 [INFO] Train: [ 25/49] Final Prec@1 99.0289%
07/16 02:07:24午前 trainTeacher_main.py:238 [INFO] Valid: [ 25/49] Final Prec@1 86.3000%
07/16 02:07:24午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5000%
07/16 02:09:16午前 trainTeacher_main.py:210 [INFO] Train: [ 26/49] Final Prec@1 99.0911%
07/16 02:09:20午前 trainTeacher_main.py:238 [INFO] Valid: [ 26/49] Final Prec@1 86.0200%
07/16 02:09:20午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5000%
07/16 02:11:12午前 trainTeacher_main.py:210 [INFO] Train: [ 27/49] Final Prec@1 99.1933%
07/16 02:11:15午前 trainTeacher_main.py:238 [INFO] Valid: [ 27/49] Final Prec@1 86.4600%
07/16 02:11:15午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5000%
07/16 02:13:08午前 trainTeacher_main.py:210 [INFO] Train: [ 28/49] Final Prec@1 99.2511%
07/16 02:13:11午前 trainTeacher_main.py:238 [INFO] Valid: [ 28/49] Final Prec@1 86.1800%
07/16 02:13:11午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5000%
07/16 02:15:04午前 trainTeacher_main.py:210 [INFO] Train: [ 29/49] Final Prec@1 99.2489%
07/16 02:15:07午前 trainTeacher_main.py:238 [INFO] Valid: [ 29/49] Final Prec@1 86.0200%
07/16 02:15:07午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5000%
07/16 02:17:00午前 trainTeacher_main.py:210 [INFO] Train: [ 30/49] Final Prec@1 99.2533%
07/16 02:17:03午前 trainTeacher_main.py:238 [INFO] Valid: [ 30/49] Final Prec@1 86.3200%
07/16 02:17:03午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5000%
07/16 02:18:56午前 trainTeacher_main.py:210 [INFO] Train: [ 31/49] Final Prec@1 99.2867%
07/16 02:18:59午前 trainTeacher_main.py:238 [INFO] Valid: [ 31/49] Final Prec@1 86.5400%
07/16 02:18:59午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5400%
07/16 02:20:52午前 trainTeacher_main.py:210 [INFO] Train: [ 32/49] Final Prec@1 99.2844%
07/16 02:20:55午前 trainTeacher_main.py:238 [INFO] Valid: [ 32/49] Final Prec@1 86.5400%
07/16 02:20:55午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5400%
07/16 02:22:48午前 trainTeacher_main.py:210 [INFO] Train: [ 33/49] Final Prec@1 99.3356%
07/16 02:22:51午前 trainTeacher_main.py:238 [INFO] Valid: [ 33/49] Final Prec@1 85.8600%
07/16 02:22:51午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5400%
07/16 02:24:44午前 trainTeacher_main.py:210 [INFO] Train: [ 34/49] Final Prec@1 99.3933%
07/16 02:24:47午前 trainTeacher_main.py:238 [INFO] Valid: [ 34/49] Final Prec@1 86.4800%
07/16 02:24:47午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5400%
07/16 02:26:39午前 trainTeacher_main.py:210 [INFO] Train: [ 35/49] Final Prec@1 99.4689%
07/16 02:26:43午前 trainTeacher_main.py:238 [INFO] Valid: [ 35/49] Final Prec@1 86.4800%
07/16 02:26:43午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.5400%
07/16 02:28:35午前 trainTeacher_main.py:210 [INFO] Train: [ 36/49] Final Prec@1 99.4844%
07/16 02:28:39午前 trainTeacher_main.py:238 [INFO] Valid: [ 36/49] Final Prec@1 86.6600%
