/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-LRreset_tb.csv,row_average
2.040993452072144,2.0104787349700928,2.032666683197021,2.0549027919769287,2.1337192058563232,2.080089807510376,2.067943572998047,2.0847008228302,2.0593557357788086,2.067352533340454,2.0632203340530397
1.9704452753067017,1.963621735572815,1.9855858087539675,1.9994919300079343,2.071732521057129,2.018991470336914,2.0188093185424805,2.017322301864624,1.983704686164856,2.000600576400757,2.003030562400818
1.9133983850479128,1.891635179519653,1.921758770942688,1.9332576990127563,2.0113401412963867,1.962175130844116,1.9460183382034304,1.963408708572388,1.9175968170166016,1.9442784786224363,1.940486764907837
1.8660378456115725,1.8335623741149905,1.855233073234558,1.8864846229553225,1.945931315422058,1.9084891080856323,1.8989744186401367,1.9008886814117432,1.8768651485443115,1.8872407674789429,1.8859707355499267
1.808275818824768,1.8005468845367432,1.806309938430786,1.8257591724395752,1.8966976404190063,1.8539516925811768,1.835612773895264,1.845252633094788,1.8158637285232544,1.8461239337921145,1.8334394216537475
1.7553905248641968,1.7466418743133545,1.769949436187744,1.7822940349578855,1.8450243473052976,1.8047820329666135,1.8009116649627686,1.7995128631591797,1.7708845138549805,1.783939003944397,1.7859330296516418
1.71755850315094,1.7065095901489258,1.7250491380691528,1.734812617301941,1.7889182567596436,1.7659287452697754,1.7438479661941528,1.7543565034866333,1.7224617004394531,1.7433152198791504,1.7402758240699767
1.6658005714416504,1.6497564315795898,1.6730560064315796,1.691758155822754,1.7508234977722168,1.7158257961273191,1.699453830718994,1.7217861413955688,1.6785215139389038,1.70737886428833,1.6954160809516907
1.6292365789413452,1.62326979637146,1.6326876878738403,1.6476655006408691,1.7104084491729736,1.6896392107009888,1.6640576124191284,1.67987859249115,1.6382200717926023,1.660033941268921,1.6575097441673279
1.575143575668335,1.5763115882873535,1.5955123901367188,1.6006073951721191,1.6745821237564087,1.6472928524017334,1.6161036491394043,1.63318932056427,1.5969189405441284,1.6230530738830566,1.6138714909553529
1.542155146598816,1.5541486740112305,1.552483081817627,1.5768390893936155,1.6348100900650024,1.600224256515503,1.5885231494903564,1.5905653238296509,1.5666662454605105,1.581827163696289,1.57882422208786
1.5189968347549438,1.5133488178253174,1.5247294902801514,1.53657329082489,1.6059650182724,1.563571810722351,1.5628997087478638,1.5580040216445925,1.528236746788025,1.5517513751983645,1.5464077115058898
