/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.1_30-20_tb.csv,row_average
1.946987628936768,2.079735279083252,1.836741924285889,1.8346205949783323,1.915016889572144,1.922620463371277
1.9028242826461792,2.0477404594421387,1.9397711753845213,2.003087043762207,1.921788454055786,1.9630422830581664
1.8217395544052124,1.7153007984161377,1.8519343137741089,1.8837649822235107,1.907143831253052,1.8359766960144044
1.8354606628417969,2.3403332233428955,1.8170922994613647,2.062741041183472,2.0316762924194336,2.0174607038497925
1.7801228761672974,2.006873369216919,1.920842528343201,1.7432976961135864,1.900436758995056,1.870314645767212
1.7402700185775757,2.696760416030884,1.852611064910889,1.7686142921447754,1.876006245613098,1.9868524074554443
1.727203607559204,1.8881633281707764,1.949331283569336,1.7398805618286133,1.9311949014663696,1.8471547365188599
2.181955575942993,1.71245276927948,1.6854926347732544,1.850409150123596,1.8632508516311648,1.8587121963500977
1.903864860534668,2.076066732406616,1.766291260719299,1.798993468284607,2.2189435958862305,1.9528319835662842
1.9787085056304927,1.7050037384033203,1.7259362936019895,1.826736688613892,1.8890759944915767,1.8250922441482544
1.8620210886001587,1.7227457761764526,1.9575074911117556,1.7209076881408691,1.8634228706359863,1.8253209829330443
1.8685755729675293,1.9239637851715088,1.740925669670105,1.7684993743896484,1.8837052583694456,1.8371339321136475
1.949631094932556,1.688825249671936,1.9621660709381104,1.739102482795715,1.8378775119781492,1.8355204820632935
1.815253496170044,1.889279842376709,1.7941516637802124,1.6581904888153076,1.7156634330749512,1.7745077848434447
