/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0_50-0_tb.csv,row_average
1.5519087314605713,1.5260862112045288,1.44790518283844,1.460293531417847,1.515736103057861,1.5003859519958496
1.535382866859436,1.5342646837234497,1.4650722742080688,1.441055417060852,1.5060495138168335,1.496364951133728
1.5197584629058838,1.5286785364151,1.4548046588897705,1.4274685382843018,1.523295760154724,1.4908011913299561
1.5249593257904053,1.5201747417449951,1.446811318397522,1.4243218898773191,1.5039732456207275,1.484048104286194
1.5396194458007812,1.4875117540359497,1.4446457624435425,1.464025616645813,1.514535427093506,1.4900676012039185
1.567144751548767,1.5073601007461548,1.4253047704696655,1.4586691856384275,1.4632707834243774,1.4843499183654785
1.5457710027694702,1.5239976644515991,1.4292356967926023,1.422940373420715,1.4862040281295776,1.4816297531127929
1.5318011045455933,1.5454533100128174,1.424214482307434,1.4169425964355469,1.4808465242385864,1.4798516035079956
1.5442907810211182,1.5110549926757812,1.4476032257080078,1.4326096773147583,1.5201231241226196,1.491136360168457
1.489898443222046,1.53537917137146,1.4516189098358154,1.4336646795272827,1.514187574386597,1.4849497556686402
1.5676556825637815,1.5063670873641968,1.4346654415130615,1.4175573587417605,1.4856157302856443,1.482372260093689
1.5296980142593384,1.5032964944839478,1.4648222923278809,1.4471617937088013,1.512868046760559,1.4915693283081055
1.526111721992493,1.506757140159607,1.436848282814026,1.4384400844573977,1.5400880575180054,1.4896490573883057
1.5276353359222412,1.5563000440597534,1.446293830871582,1.4372423887252808,1.497166633605957,1.492927646636963
1.5473378896713257,1.5286237001419067,1.4411799907684326,1.4059346914291382,1.509865403175354,1.4865883350372315
1.52280592918396,1.5090317726135254,1.443432331085205,1.4529621601104736,1.496253490447998,1.4848971366882324
1.544537901878357,1.5170096158981323,1.4839504957199097,1.45746648311615,1.5190892219543457,1.504410743713379
1.5347764492034912,1.5225238800048828,1.448678970336914,1.4751336574554443,1.5049324035644531,1.497209072113037
1.5301111936569214,1.498585224151611,1.4495269060134888,1.454234957695007,1.524194598197937,1.4913305759429931
1.5624375343322754,1.5180946588516235,1.4309678077697754,1.443703532218933,1.5404274463653564,1.4991261959075928
1.5250508785247805,1.5299808979034424,1.4645644426345823,1.465074062347412,1.529943823814392,1.502922821044922
1.548463225364685,1.553306221961975,1.4277210235595703,1.4415186643600464,1.527199625968933,1.499641752243042
1.5456854104995728,1.5243465900421145,1.4621933698654177,1.470266819000244,1.5306121110916138,1.5066208600997926
1.5521509647369385,1.5205188989639282,1.4521671533584597,1.45547616481781,1.51056706905365,1.4981760501861572
1.5181463956832886,1.5640738010406494,1.4507590532302856,1.4920395612716677,1.5253678560256958,1.5100773334503175
