/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-1_30-20_tb.csv,row_average
2.185311794281006,2.2211620807647705,2.2218828201293945,2.210881471633911,2.191751718521118,2.20619797706604
2.140934467315674,2.2084171772003174,2.2146759033203125,2.136641025543213,2.155877590179444,2.171309232711792
2.159909963607788,2.1248042583465576,2.1882874965667725,2.170102119445801,2.106896162033081,2.15
2.0437498092651367,2.08947229385376,2.1131467819213867,2.052581310272217,2.0742757320404053,2.074645185470581
2.085099935531616,2.137345552444458,2.006388902664185,2.0656557083129883,2.0145747661590576,2.061812973022461
1.9886376857757568,2.068117380142212,2.012569665908813,1.9786031246185305,2.0201079845428467,2.0136071681976317
1.97684645652771,2.061830759048462,1.9979488849639893,1.9421746730804443,2.036585807800293,2.0030773162841795
2.067194938659668,2.09594464302063,1.9987329244613647,2.007529020309448,1.9821765422821045,2.030315613746643
1.9527955055236816,1.97907030582428,1.9813110828399656,1.925475597381592,1.9421632289886477,1.9561631441116334
1.8944764137268064,1.951622009277344,2.0048980712890625,2.003926038742065,1.933615565299988,1.9577076196670533
1.9033386707305908,1.9459333419799805,1.973740100860596,2.004028797149658,1.956967830657959,1.956801748275757
1.870405197143555,1.926978588104248,1.9216675758361816,1.9978561401367188,1.9246317148208616,1.928307843208313
1.8985459804534912,1.9512842893600464,1.9007161855697632,1.871219515800476,1.867180585861206,1.8977893114089965
1.870038628578186,1.8962547779083248,1.9099823236465452,1.88215446472168,1.906987547874451,1.8930835485458375
1.8861384391784668,1.8823851346969604,1.8389099836349487,1.8877830505371092,1.8476978540420528,1.8685828924179078
1.8781548738479612,1.9134165048599243,1.7969564199447632,1.8011207580566406,1.867422580718994,1.8514142274856566
1.8197083473205569,1.8346059322357176,1.867944359779358,1.859972357749939,1.847272276878357,1.8459006547927856
1.827181100845337,1.939505100250244,1.892661690711975,1.819324612617493,1.8448082208633425,1.8646961450576782
1.8966155052185056,1.922408103942871,1.843953847885132,1.9325807094573972,1.8471465110778809,1.8885409355163574
1.859354853630066,1.873059153556824,1.8387389183044436,1.8653277158737185,1.909379959106445,1.8691721200942992
1.9023925065994265,1.8756784200668333,1.8826731443405151,1.8559812307357788,1.8583967685699463,1.8750244140625
1.87204110622406,1.8845640420913696,1.8950934410095213,1.8306769132614136,1.941891074180603,1.8848533153533935
1.892884969711304,1.902220726013184,1.9135336875915527,1.852545142173767,1.8870315551757808,1.8896432161331176
1.9189621210098269,1.923704981803894,1.8953516483306885,1.922476291656494,1.9050531387329104,1.9131096363067628
1.8802531957626345,1.898062825202942,1.867441177368164,1.8590466976165767,1.900633811950684,1.8810875415802002
1.9354348182678225,1.8500957489013672,1.8366037607192995,1.8867191076278689,1.87019157409668,1.8758090019226075
1.8785241842269895,1.9347915649414065,1.8231208324432373,1.9130209684371948,1.915716290473938,1.8930347681045532
1.8573371171951292,1.904136180877685,1.9004448652267456,1.9366371631622317,1.9127836227416992,1.9022677898406983
1.9212912321090696,1.9202967882156368,1.884684681892395,1.9575198888778689,1.881431221961975,1.9130447626113891
1.9323954582214355,1.939808368682861,1.8760069608688357,1.862541437149048,1.8906456232070925,1.9002795696258545
1.8780592679977417,1.8582934141159055,1.895637273788452,1.9452478885650637,1.91534423828125,1.8985164165496826
1.9090453386306765,1.992470145225525,1.8723948001861568,1.9371217489242556,1.9328242540359497,1.9287712574005127
2.11785626411438,1.950093507766724,1.9165750741958616,1.9140679836273196,1.8659638166427608,1.9529113292694091
1.9294947385787964,1.9871028661727903,1.9607386589050293,1.9474945068359373,1.8837541341781616,1.941716980934143
1.9583152532577517,1.963684320449829,1.9815888404846191,1.923205852508545,2.011651039123535,1.9676890611648559
1.9398213624954224,1.8959630727767944,2.0073490142822266,1.9415180683135984,1.8862789869308472,1.9341861009597778
2.031747817993164,2.0403566360473637,2.0945661067962646,1.9404767751693728,1.9537489414215088,2.0121792554855347
3.575800657272339,3.54288101196289,3.561824083328247,3.579237222671509,3.971338987350464,3.64621639251709
3.365007877349853,3.180093288421631,3.5072386264801025,3.000244617462158,3.45058012008667,3.300632905960083
2.996342420578003,3.050175428390503,3.403409957885742,3.0724523067474365,3.1619210243225098,3.136860227584839
2.8056869506835938,3.700733184814453,2.753753423690796,2.7031683921813965,2.8865411281585693,2.969976615905762
2.978525161743164,2.826458692550659,2.7370619773864746,3.1616525650024414,3.1716880798339844,2.9750772953033446
2.561190128326416,2.496758460998535,2.582498788833618,2.6955528259277344,2.6886203289031982,2.6049241065979003
2.6982123851776123,2.7384252548217773,2.6552696228027344,2.6620233058929443,2.536203622817993,2.658026838302612
2.4572536945343018,2.3889617919921875,2.4063403606414795,2.518557548522949,2.709245443344116,2.496071767807007
2.540791273117065,2.517713785171509,2.458139419555664,2.172898769378662,2.5777580738067627,2.4534602642059324
2.2914857864379883,2.428412437438965,2.3841590881347656,2.205826997756958,2.4910478591918945,2.3601864337921143
2.440770387649536,2.6573212146759038,2.4891605377197266,2.550966739654541,2.736588478088379,2.574961471557617
2.174830675125122,2.277983903884888,2.286108016967773,2.626927137374878,2.619030714035034,2.396976089477539
2.2203848361968994,2.311864852905273,2.1815319061279297,2.3423871994018555,2.365966796875,2.284427118301392
2.253357410430908,2.3418846130371094,2.2621331214904785,2.1875157356262207,2.3643507957458496,2.281848335266113
2.190624475479126,2.2978355884552,2.522138357162476,2.225696325302124,2.211443424224853,2.289547634124756
2.2189841270446777,2.455148935317993,2.2669613361358643,2.075568199157715,2.5328593254089355,2.309904384613037
2.37540340423584,2.2220535278320312,2.2188937664031982,2.0913097858428955,2.258020401000977,2.2331361770629883
2.056912660598755,2.1580350399017334,2.1792070865631104,2.2121593952178955,2.18274188041687,2.1578112125396727
2.155038833618164,2.046421766281128,2.1060500144958496,2.1567957401275635,2.250844955444336,2.1430302619934083
2.1374495029449463,2.770538568496704,2.055642604827881,2.024211406707764,2.1574318408966064,2.2290547847747804
2.103554010391236,2.130972146987915,2.1880533695220947,2.031195640563965,2.1796255111694336,2.1266801357269287
2.134166955947876,2.132753610610962,2.2645153999328613,2.140503168106079,2.5539560317993164,2.245179033279419
2.1661765575408936,2.062793254852295,1.999907612800598,2.249154090881348,2.546121120452881,2.204830527305603
2.067566394805908,2.114865303039551,2.3677144050598145,1.9292943477630613,2.1661384105682373,2.1291157722473146
1.9500125646591189,2.566346406936645,2.063886404037476,1.8876796960830688,2.421120405197144,2.1778090953826905
1.9188923835754397,2.292961835861206,2.0294246673583984,2.3361432552337646,2.0174057483673096,2.118965578079224
2.0535707473754883,2.386831998825073,2.016782760620117,1.939083814620972,2.2791874408721924,2.1350913524627684
2.221575736999512,2.3461647033691406,2.160397291183472,2.1154122352600098,1.9129981994628904,2.151309633255005
2.0462372303009038,1.9833663702011108,1.9585977792739868,2.1571853160858154,2.332526922225952,2.0955827236175537
2.06307315826416,2.0444626808166504,2.417496919631958,1.9920072555541992,2.038072109222412,2.111022424697876
1.94800066947937,2.06057071685791,2.2533295154571533,2.198610782623291,1.999393343925476,2.0919810056686403
2.093958616256714,2.045754194259644,2.1954307556152344,1.9575421810150144,1.9680365324020384,2.052144455909729
1.878690719604492,2.122511863708496,2.0473103523254395,1.9768977165222168,1.8899123668670652,1.983064603805542
2.959618330001831,2.172950506210327,1.9777640104293823,1.8659663200378416,2.006770610809326,2.1966139554977415
1.934321880340576,1.9305793046951292,1.980815052986145,1.903928518295288,2.011925220489502,1.9523139953613282
1.7809230089187622,1.804044246673584,1.8755385875701904,1.8479011058807373,2.0149593353271484,1.8646732568740845
2.01765775680542,2.4300148487091064,1.8191717863082888,1.977689266204834,1.818091869354248,2.0125251054763793
1.970070600509644,1.87579345703125,1.8841030597686768,2.403244733810425,1.9237926006317136,2.011400890350342
1.990926504135132,1.982284426689148,1.791700005531311,1.9569910764694212,2.020644426345825,1.9485092878341674
2.039931297302246,1.8603211641311648,2.103818655014038,1.9456175565719604,1.8426090478897093,1.9584595441818238
2.0813326835632324,1.876607179641724,1.7878972291946411,1.691921949386597,1.9787684679031368,1.8833055019378662
1.970306754112244,2.103033781051636,1.7449240684509275,1.7790215015411377,1.992598295211792,1.9179768800735473
1.887291669845581,2.121474266052246,1.78302264213562,1.786788821220398,1.959620475769043,1.9076395750045776
1.71925687789917,2.1962060928344727,1.8857407569885252,1.8377939462661743,2.040005683898926,1.9358006715774536
1.7870237827301023,2.3078856468200684,1.9018361568450928,1.733761429786682,1.8112735748291016,1.9083561182022095
1.766711950302124,1.8069244623184204,1.896849274635315,1.7622904777526855,2.0611605644226074,1.8587873458862305
1.773174285888672,1.8858684301376345,1.7963502407073977,1.821046471595764,1.890544414520264,1.8333967685699466
1.913237452507019,1.761626958847046,1.8850408792495728,1.7869315147399902,1.8325227499008176,1.8358719110488892
1.848016381263733,1.8634904623031616,1.8434520959854128,1.942797899246216,1.8214532136917116,1.8638420104980469
1.831327199935913,2.251795530319214,1.8564324378967283,1.6970685720443726,1.7456612586975098,1.8764569997787475
1.8974456787109373,1.720462441444397,1.8187379837036133,1.6434251070022583,1.7364554405212402,1.7633053302764892
1.8709264993667605,2.0750887393951416,1.7183202505111694,1.6659226417541504,1.856029748916626,1.8372575759887695
1.9144638776779173,1.8810216188430784,1.8091603517532349,1.8503464460372925,1.7018907070159912,1.831376600265503
1.8945744037628172,1.854911208152771,1.708418846130371,1.7840572595596311,1.787358641624451,1.8058640718460084
1.7183895111083984,1.8856440782547,1.8594510555267332,1.6443183422088623,1.693566083908081,1.760273814201355
